Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
150173,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,5165 MCCARTY LN,LAFAYETTE,IN,47905,TIPPECANOE,7654488000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"5165 MCCARTY LN LAFAYETTE, IN (40.403025, -86.807164)",https://iuhealth.org/find-locations/iu-health-arnett-hospital,https://iuhealth.org/find-locations/iu-health-arnett-hospital-emergency-medicine-iu-health-arnett-hosital,https://www.facebook.com/iuhealtharnett/
160124,LAKES REGIONAL HEALTHCARE,2301 HIGHWAY 71,SPIRIT LAKE,IA,51360,DICKINSON,7123361230,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,"2301 HIGHWAY 71 SPIRIT LAKE, IA (43.418396, -95.126312)",https://www.avera.org/locations/lakes-regional-healthcare/,https://www.avera.org/locations/profile/avera-medical-group-lakes-family-practice/,https://www.avera.org/locations/profile/avera-medical-group-spirit-lake-medical-center/
151302,INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL,410 PILGRIM BLVD,HARTFORD CITY,IN,47348,BLACKFORD,7653480300,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"410 PILGRIM BLVD HARTFORD CITY, IN (40.468905, -85.372027)",https://iuhealth.org/find-locations/iu-health-blackford-hospital,https://iuhealth.org/find-locations/iu-health-blackford-emergency-medicine-iu-health-blackford-hospital,https://iuhealth.org/find-locations/iu-health-blackford-hospital-lab-iu-health-blackford-hospital
150100,ST VINCENT EVANSVILLE,3700 WASHINGTON AVE,EVANSVILLE,IN,47750,VANDERBURGH,8124854000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"3700 WASHINGTON AVE EVANSVILLE, IN (37.962408, -87.50554)",https://www.stvincent.org/Locations/Hospitals/Evansville,https://www.stvincent.org/Locations/Hospitals/Evansville/About-Us-Evansville,https://www.ahd.com/free_profile/150100/Saint_Vincent_Evansville/Evansville/Indiana/
160057,GREAT RIVER MEDICAL CENTER,1221 SOUTH GEAR AVENUE,WEST BURLINGTON,IA,52655,DES MOINES,3197681000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1221 SOUTH GEAR AVENUE WEST BURLINGTON, IA (40.807369, -91.170278)",https://www.greatriverhealthsystem.org/,https://health.usnews.com/best-hospitals/area/ia/great-river-medical-center-6620115/contact,https://health.usnews.com/best-hospitals/area/ia/great-river-medical-center-6620115/doctors
131318,VALOR HEALTH,1202 EAST LOCUST STREET,EMMETT,ID,83617,GEM,2083653561,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Same as the national average,,"1202 EAST LOCUST STREET EMMETT, ID (43.879078, -116.485255)",https://www.valorhealth.org/,https://www.valorhealth.org/careers/,https://www.valorhealth.org/services/urgent-care/
210058,UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE,2200 KERNAN DRIVE,BALTIMORE,MD,21207,BALTIMORE CITY,4104486701,Acute Care Hospitals,Voluntary non-profit - Private,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"2200 KERNAN DRIVE BALTIMORE, MD (39.312864, -76.711712)",https://www.umms.org/rehab,https://www.umms.org/rehab/locations,https://www.umms.org/rehab/patients-visitors/directions-parking
123300,KAPIOLANI MEDICAL CENTER FOR WOMEN & CHILDREN,1319 PUNAHOU STREET,HONOLULU,HI,96826,HONOLULU,8089836000,Childrens,Voluntary non-profit - Private,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"1319 PUNAHOU STREET HONOLULU, HI (21.300394, -157.834243)",https://www.hawaiipacifichealth.org/kapiolani/,https://www.hawaiipacifichealth.org/womens-centers/our-locations/kapiolani/,https://www.hawaiipacifichealth.org/kapiolani/locations/
220001,HEALTH ALLIANCE - CLINTON HOSPITAL,60 HOSPITAL ROAD,LEOMINSTER,MA,1453,WORCESTER,9784662000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"60 HOSPITAL ROAD LEOMINSTER, MA (42.541193, -71.763033)",https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/contact,https://www.umassmemorialhealthcare.org/healthalliance-clinton-hospital/leominster-campus
190245,MONROE SURGICAL HOSPITAL,2408 BROADMOOR BLVD,MONROE,LA,71201,OUACHITA,3184100002,Acute Care Hospitals,Physician,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,"2408 BROADMOOR BLVD MONROE, LA (32.536771, -92.102204)",http://www.monroesurgical.com/,http://www.monroesurgical.com/Contact,http://www.monroesurgical.com/Services/Outpatient
151311,INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC,1000 S MAIN ST,TIPTON,IN,46072,TIPTON,7656758500,Critical Access Hospitals,Voluntary non-profit - Other,True,True,5,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1000 S MAIN ST TIPTON, IN (40.272216, -86.041102)",https://iuhealth.org/find-locations/iu-health-tipton-hospital,https://iuhealth.org/find-locations/iu-health-tipton-hospital-emergency-medicine,https://www.facebook.com/IUHealthTipton/
181306,METHODIST HOSPITAL UNION COUNTY,4604 US HIGHWAY 60 WEST,MORGANFIELD,KY,42437,UNION,2703895000,Critical Access Hospitals,Voluntary non-profit - Church,True,True,4,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"4604 US HIGHWAY 60 WEST MORGANFIELD, KY (37.626114, -87.943918)",https://www.methodisthospital.net/Locations/Methodist-Hospital-Union-County-Campus.aspx,https://www.methodisthospital.net/,https://www.methodisthospital.net/About-Us/Methodist-Hospital-Union-County.aspx
140089,MC DONOUGH DISTRICT HOSPITAL,525 EAST GRANT STREET,MACOMB,IL,61455,MC DONOUGH,3098334101,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"525 EAST GRANT STREET MACOMB, IL (40.447907, -90.66403)",https://www.mdh.org/,https://www.mdh.org/contact_us.aspx,https://www.mdh.org/convenient_care/about_us/location_and_hours.aspx
140130,NORTHWESTERN LAKE FOREST HOSPITAL,1000 N WESTMORELAND ROAD,LAKE FOREST,IL,60045,LAKE,8472345600,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"1000 N WESTMORELAND ROAD LAKE FOREST, IL (42.259134, -87.866327)",https://www.nm.org/locations/lake-forest-hospital,https://www.nm.org/locations/lake-forest-primary-care,https://www.nm.org/locations/diagnostic-imaging-lake-forest-hospital
150109,FRANCISCAN HEALTH LAFAYETTE,1701 S CREASY LN,LAFAYETTE,IN,47905,TIPPECANOE,7655024334,Acute Care Hospitals,Voluntary non-profit - Church,True,True,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1701 S CREASY LN LAFAYETTE, IN (40.393845, -86.838378)",https://www.franciscanhealth.org/healthcare-facilities/franciscan-health-lafayette-east-62,https://www.franciscanhealth.org/healthcare-facilities/franciscan-health-lafayette-central-61,https://www.franciscanhealth.org/healthcare-facilities/franciscan-health-outpatient-center-lafayette-2107
150166,PINNACLE HOSPITAL,9301 CONNECTICUT DR,CROWN POINT,IN,46307,LAKE,2197562100,Acute Care Hospitals,Physician,False,,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,"9301 CONNECTICUT DR CROWN POINT, IN (41.449118, -87.330069)",http://pinnaclehealthcare.net/,https://pinnaclehealthcare.net/careers,https://pinnaclehealthcare.net/contact
141305,MEMORIAL HOSPITAL,1454 N COUNTY ROAD 2050 E,CARTHAGE,IL,62321,HANCOCK,2173578500,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,"1454 N COUNTY ROAD 2050 E CARTHAGE, IL (40.409306, -91.111319)",http://www.mhtlc.org/,http://www.mhtlc.org/careers/,http://www.mhtlc.org/news-resources/directory/
180093,BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,KY,42431,HOPKINS,2708255100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"900 HOSPITAL DRIVE MADISONVILLE, KY (37.339177, -87.493845)",https://www.baptisthealth.com/madisonville/pages/default.aspx,https://www.baptisthealth.com/madisonville/pages/contact.aspx,https://www.baptisthealth.com/madisonville/pages/locations/hospitals.aspx
201313,SEBASTICOOK VALLEY HEALTH,447 NORTH MAIN STREET,PITTSFIELD,ME,4967,SOMERSET,2074875141,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,"447 NORTH MAIN STREET PITTSFIELD, ME (44.790826, -69.371269)",https://www.plushcare.com/hospital/sebasticook-valley-health/,https://www.assisted-living-facilities.net/assisted-living/sebasticook-valley-health-care-1-90001,http://patientpremier.com/business-directory/41452/sebasticook-valley-health
201304,MOUNT DESERT ISLAND HOSPITAL,"10 WAYMAN LANE, PO BOX 8",BAR HARBOR,ME,4609,HANCOCK,2072885081,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"10 WAYMAN LANE, PO BOX 8 BAR HARBOR, ME (44.384369, -68.202331)",https://www.mdihospital.org/,https://www.mdihospital.org/contact-us/,https://www.mdihospital.org/about-us/
140185,MEMORIAL HOSPITAL,4500 MEMORIAL DRIVE,BELLEVILLE,IL,62226,ST. CLAIR,6182337750,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"4500 MEMORIAL DRIVE BELLEVILLE, IL (38.550533, -90.021168)",https://www.memhosp.com/,https://www.memhosp.com/contact-us,https://www.memhosp.com/centers-services
111324,CHATUGE REGIONAL HOSPITAL,110 S MAIN STREET,HIAWASSEE,GA,30546,TOWNS,7068962222,Critical Access Hospitals,Government - Hospital District or Authority,True,True,4,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"110 S MAIN STREET HIAWASSEE, GA (34.946282, -83.754318)",http://www.uniongeneralhospital.com/crh,http://www.uniongeneralhospital.com/crnh,https://www.facebook.com/ChatugeRegional/
180046,BOURBON COMMUNITY HOSPITAL,9 LINVILLE DRIVE,PARIS,KY,40361,BOURBON,8599873600,Acute Care Hospitals,Proprietary,True,True,3,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"9 LINVILLE DRIVE PARIS, KY (38.220655, -84.238896)",https://www.bourbonhospital.com/,https://www.bourbonhospital.com/for-patients-and-visitors/contact-us,https://www.bourbonhospital.com/find-a-doctor
171319,HOLTON COMMUNITY HOSPITAL,1110 COLUMBINE DRIVE,HOLTON,KS,66436,JACKSON,7853642116,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"1110 COLUMBINE DRIVE HOLTON, KS (39.479464, -95.750908)",http://www.holtonhospital.com/,http://www.holtonhospital.com/getpage.php?name=contact,http://www.holtonhospital.com/staff/
190236,WILLIS KNIGHTON BOSSIER HEALTH CENTER,2400 HOSPITAL DR,BOSSIER CITY,LA,71111,BOSSIER,3182127000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"2400 HOSPITAL DR BOSSIER CITY, LA (32.557533, -93.717874)",https://www.wkhs.com/locations/hospitals/wk-bossier,https://www.wkhs.com/,https://www.wkhs.com/lab/patient-service-centers-locations/wk-bossier-health-center
220095,HEYWOOD HOSPITAL -,242 GREEN STREET,GARDNER,MA,1440,WORCESTER,9786323420,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"242 GREEN STREET GARDNER, MA (42.586565, -71.986165)",https://www.heywood.org/,https://www.heywood.org/contact-us,https://www.heywood.org/locations/heywood-hospital
140119,RUSH UNIVERSITY MEDICAL CENTER,1653 WEST CONGRESS PARKWAY,CHICAGO,IL,60612,COOK,3129425000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1653 WEST CONGRESS PARKWAY CHICAGO, IL (41.875166, -87.66851)",https://www.rush.edu/locations,https://www.rush.edu/contact-us,https://www.rush.edu/
220098,NASHOBA VALLEY MEDICAL CENTER,200 GROTON ROAD,AYER,MA,1432,MIDDLESEX,9787849000,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"200 GROTON ROAD AYER, MA (42.576412, -71.573053)",https://www.nashobamed.org/,https://www.nashobamed.org/contact-us,https://www.nashobamed.org/services
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD,WINFIELD,IL,60190,DU PAGE,6306821600,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"25 NORTH WINFIELD ROAD WINFIELD, IL (41.873765, -88.158095)",https://www.nm.org/locations/central-dupage-hospital,https://en.wikipedia.org/wiki/Central_DuPage_Hospital,https://www.healthgrades.com/hospital-directory/illinois-il-chicago-metro-area/northwestern-medicine-central-dupage-hospital-hgst2a346f56140242
140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST,KANKAKEE,IL,60901,KANKAKEE,8159331671,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"350 N WALL ST KANKAKEE, IL (41.124148, -87.882651)",https://www.riversidehealthcare.org/,https://www.riversidehealthcare.org/location/riverside-medical-center,https://www.riversidehealthcare.org/location/riverside-healthcare-kankakee-main-campus-hospital
151306,INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,642 W HOSPITAL RD,PAOLI,IN,47454,ORANGE,8127232811,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"642 W HOSPITAL RD PAOLI, IN (38.567698, -86.475188)",https://iuhealth.org/find-locations/iu-health-paoli-hospital,https://iuhealth.org/find-locations/iu-health-paoli-hospital-lab-iu-health-paoli-hospital,"https://www.indeed.com/qc-IU-Health-Paoli-Hospital-l-Paoli,-IN-jobs.html"
171359,GREELEY COUNTY HEALTH SERVICES,506 3RD STREET,TRIBUNE,KS,67879,GREELEY,6203764221,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"506 3RD STREET TRIBUNE, KS (38.470477, -101.749762)",http://mygchs.com/,http://mygchs.com/contact/,http://mygchs.com/about/our-team/
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,1 GOOD SAMARITAN WAY,MOUNT VERNON,IL,62864,JEFFERSON,6188991469,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1 GOOD SAMARITAN WAY MOUNT VERNON, IL (38.3149, -88.93)",https://www.ssmhealth.com/locations/good-samaritan-hospital-mt-vernon,http://www.ssmhealthcareers.com/locations/il-st-marys-good-samaritan-mount-vernon,https://www.healthgrades.com/hospital-directory/illinois-il/good-samaritan-regional-health-center-hgstbe246f56140046
180024,SPRING VIEW HOSPITAL,320 LORETTO ROAD,LEBANON,KY,40033,MARION,2706925145,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"320 LORETTO ROAD LEBANON, KY (37.570325, -85.259397)",https://www.springviewhospital.com/,https://www.springviewhospital.com/for-patients-and-visitors/contact-us,https://www.springviewhospital.com/find-a-doctor
140064,ST MARY MEDICAL CENTER,3333 NORTH SEMINARY,GALESBURG,IL,61401,KNOX,3093443161,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"3333 NORTH SEMINARY GALESBURG, IL (40.98702, -90.363609)",https://www.osfhealthcare.org/st-mary/,https://www.osfhealthcare.org/st-mary/about/contact/,https://www.osfhealthcare.org/practices/30/1022/osf-st-mary-medical-center/
171311,ROOKS COUNTY HEALTH CENTER,1210 NORTH WASHINGTON,PLAINVILLE,KS,67663,ROOKS,7854344553,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"1210 NORTH WASHINGTON PLAINVILLE, KS (39.247967, -99.298203)",http://rookscountyhealthcenter.com/,http://rookscountyhealthcenter.com/contact-us/,http://rookscountyhealthcenter.com/about-rooks-county-health-center/
171362,CITIZENS MEDICAL CENTER,100 E COLLEGE DRIVE,COLBY,KS,67701,THOMAS,7854627511,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,This hospital's star rating only includes data reported on inpatient services.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"100 E COLLEGE DRIVE COLBY, KS (39.379755, -101.045049)",https://www.cmciks.com/,https://www.cmciks.com/medical-center/job-openings,https://www.cmciks.com/medical-center
220016,BAYSTATE FRANKLIN MEDICAL CENTER,164 HIGH STREET,GREENFIELD,MA,1301,FRANKLIN,4137730211,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"164 HIGH STREET GREENFIELD, MA (42.595606, -72.591287)",https://www.baystatehealth.org/locations/franklin-medical-center,https://www.baystatehealth.org/locations/franklin-medical-center/surgical-center,https://www.ahd.com/free_profile/220016/Baystate_Franklin_Medical_Center/Greenfield/Massachusetts/
190079,ST CHARLES PARISH HOSPITAL,1057 PAUL MAILLARD ROAD,LULING,LA,70070,ST. CHARLES,9857853644,Acute Care Hospitals,Government - Hospital District or Authority,True,True,4,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"1057 PAUL MAILLARD ROAD LULING, LA (29.924513, -90.371751)",https://www.ochsner.org/locations/st-charles-parish-hospital,https://www.ochsner.org/locations/ochsner-health-center-luling,https://www.yelp.com/biz/st-charles-parish-hospital-luling
191300,ST HELENA PARISH HOSPITAL,16874 HIGHWAY 43,GREENSBURG,LA,70441,ST. HELENA,2252226111,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"16874 HIGHWAY 43 GREENSBURG, LA (30.83125, -90.667002)",http://sthelenaparishhospital.org/Home/tabid/94/Default.aspx,http://www.sthelenaparishhospital.org/AboutUs/Directions/tabid/152/Default.aspx,http://www.sthelenaparishhospital.org/Services/BehavioralHealth/tabid/188/Default.aspx
141341,PANA COMMUNITY HOSPITAL,101 E NINTH STREET,PANA,IL,62557,CHRISTIAN,2175622131,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,"101 E NINTH STREET PANA, IL (39.380296, -89.084213)",http://panahospital.com/home,http://www.panahospital.com/careers,http://www.panahospital.com/contact-us
210012,SINAI HOSPITAL OF BALTIMORE,2401 WEST BELVEDERE AVENUE,BALTIMORE,MD,21215,BALTIMORE CITY,4106015131,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"2401 WEST BELVEDERE AVENUE BALTIMORE, MD (39.354645, -76.66233)",http://www.lifebridgehealth.org/Sinai/Sinai1.aspx,http://www.lifebridgehealth.org/Sinai/DirectionstoSinaiHospital19.aspx,http://www.lifebridgehealth.org/
210008,MERCY MEDICAL CENTER INC,301 SAINT PAUL PLACE,BALTIMORE,MD,21202,BALTIMORE CITY,4103329237,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"301 SAINT PAUL PLACE BALTIMORE, MD (39.29255, -76.61355)",https://mdmercy.com/,https://mdmercy.com/departments-and-services,https://mdmercy.com/about-mercy/contact-us
170191,UNIVERSITY  OF KS HLTH SYSTEM GREAT BEND CAMPUS,514 CLEVELAND STREET,GREAT BEND,KS,67530,BARTON,6207928833,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"514 CLEVELAND STREET GREAT BEND, KS (38.3562, -98.791619)",http://www.kansashealthsystem.com/find-us/great-bend-campus,https://www.gbregional.com/,https://www.facebook.com/GreatBendRegionalHospital/
