 Item Description,Charge Amount
PLATE NCB PROX TROCHANTER LEFT NARROW,3555
PLATE NCBPP DISTAL FEMORAL 18 HOLE RIGHT,3256
PLATE NECK 2.4MM LCP RADIAL HEAD NECK 3-HL RIGHT,1231.2
PLATE NECK 2.4MM LCP RADIAL HEAD RIM 2-HL RIGHT,1197
PLATE OBLIQUE L 1.5MM,553.85
PLATE OBLIQUE L 1.5MM,553.85
PLATE OBLIQUE L 3X4-HL LEFT LOW PROFILE,608.2
PLATE OBLIQUE L 3X4-HL RIGHT LOW PROFILE,1094.76
PLATE OBLIQUELEFT 2H HEAD 2.7MM,769.5
PLATE OLECRANON 10HOLE 3.5MM,2054.85
PLATE OLECRANON 2 HOLE,1718.55
PLATE OMEGA PLUS SUPRACONDYLAR 98 X 10-SLOT KEYED,1807.05
PLATE OMEGA3 HIP SHT-BARREL 2-HL X 130D,821.1
PLATE OMEGA3 HIP SHT-BARREL 2-HL X 135D,821.1
PLATE OMEGA3 HIP SHT-BARREL 3-HL X 130D,821.1
PLATE OMEGA3 HIP SHT-BARREL 3-HL X 135D,821.1
PLATE OMEGA3 HIP SHT-BARREL 3-HL X 140D,821.1
PLATE OMEGA3 HIP SHT-BARREL 4-HL X 130D,821.1
PLATE OMEGA3 HIP SHT-BARREL 4-HL X 135D,821.1
PLATE OMEGA3 HIP SHT-BARREL 4-HL X 140D,821.1
PLATE OMEGA3 HIP SHT-BARREL 5-HL X 130D,821.1
PLATE OMEGA3 HIP STD-BARREL KEYED 12-HL X 135D,1038.45
PLATE OMEGA3 HIP STD-BARREL KEYED 2-HL X 135D,1038.45
PLATE OMEGA3 HIP STD-BARREL KEYED 4-HL X 130D,1038.45
PLATE OMEGA3 HIP STD-BARREL KEYED 4-HL X 135D,1038.45
PLATE ONE THIRD TUBULAR W/COLLAR 10H X 121MM,143.93
PLATE ONE THIRD TUBULAR W/COLLAR 12H X 145MM,151.05
PLATE ONE THIRD TUBULAR W/COLLAR 4H X 49MM,129.68
PLATE ONE THIRD TUBULAR W/COLLAR 5H X 61MM,129.68
PLATE ONE THIRD TUBULAR W/COLLAR 6H X 73MM,134.65
PLATE ONE THIRD TUBULAR W/COLLAR 7H X 85MM,134.65
PLATE ONE THIRD TUBULAR W/COLLAR 8H X 97MM,139.65
PLATE ORBITAL FLOOR 1.5MM RAPID RESORB,1766.05
PLATE ORBITAL RIM .5MM MIDFACE,861.08
PLATE ORBITAL RIM TI 12-HL LOW PROFILE,727.33
PLATE ORTHOLOC MDCO,4607.5
PLATE PELVIC 3.5 6H,766.65
PLATE PELVIC 7H,805.13
PLATE PELVIC RECON 3.5 CVD 80MM 12 HOLE,1075.88
PLATE PELVIC RECON 4H,664.05
PLATE PELVIC RECON 8MM 3.5 MM C,923.4
PLATE PELVIC RECON CURVED 8-HL 3.5MM,580.95
PLATE PELVIC RECON NON LOCK 3.5 8H,1266.83
PLATE PELVIC RECON STRAIGHT 7-HL 3.5 X 82MM,798
PLATE PERI LCP 3.5MM 6 HOLE,3239.03
PLATE PILON MEDIAL 5 HOLE,657.25
PLATE PIN DORSAL/ULNAR 3 HOLE,2487.5
PLATE PIN DORSAL/ULNAR 5 HOLE,2487.5
PLATE PIN DORSAL/ULNAR 7 HOLE,2487.5
PLATE PIN RADIAL 3-HOLE,1812.5
PLATE PIN RADIAL COLUMN 3-HOLE,2487.5
PLATE PIN RADIAL COLUMN 5-HOLE,2487.5
PLATE PIN RADIAL COLUMN 7-HOLE,2487.5
PLATE PIN ULNAR 3-HOLE,2487.5
PLATE PIN ULNAR 5-HOLE,1812.5
PLATE POLYAXIAL LOCK MTO CROSS LEFT T8,7840
PLATE POLYAXIAL LOCKIN MTP CROSS RIGHT T8,7840
PLATE POST BODY FLARED TI 10MM,10500
PLATE POST DIST FIB 4H LEFT,1259.7
PLATE POST DIST FIBULA 3.5MMX 184MM 12HOLE,2671.88
PLATE POST LAT DIS FIB 3H LEFT 7MM,1239.75
PLATE POST LAT DIS FIB 3H RIGHT 7MM,1239.75
PLATE POST LAT DIS FIB 4H RIGHT,1259.7
PLATE POST LAT DIST FIB PLATE 5H,1276.8
PLATE POST LAT DIST FIB PLATE 9 HOLE,1333.8
PLATE POST LAT DIST HUMEROUS 3.5MM 9H LEFT,2382.6
PLATE POW LCK TI 3.5MM,2237.5
PLATE PRE BENT MESH,13375
PLATE PROFYLE 1.7 S HAND LCKG 3-D 4X2-HL,993.6
PLATE PROFYLE 1.7 S HAND LCKG STRAIGHT 16-HL,993.6
PLATE PROFYLE 1.7 S HAND LCKG T NARROW 10-HL,993.6
PLATE PROFYLE 1.7 S HAND LCKG T REGULAR 7-HL,993.6
PLATE PROFYLE 2.3 M HAND LCKG 3-D 2X2-HL,993.6
PLATE PROFYLE 2.3 M HAND LCKG 3-D 3X2-HL,993.6
PLATE PROFYLE 2.3 M HAND LCKG STRAIGHT 16-HL,993.6
PLATE PROFYLE 2.3 M HAND LCKG STRAIGHT BAR 4-H,735.75
PLATE PROFYLE 2.3 M HAND LCKG STRAIGHT BAR 4-HL,735.75
PLATE PROFYLE 2.3 M HAND LCKG T WIDE 8-HL,993.6
PLATE PROFYLE 2.3 M HAND LCKG Y NARROW 7-HL,993.6
PLATE PROFYLE L HAND COMPRESSION STRAIGHT BAR 4-HL,1064.25
PLATE PROFYLE L HAND COMPRESSION STRAIGHT BAR 6-HL,1064.25
PLATE PROFYLE MOD HAND M-FIX STRAIGHT 16-HL,1253.25
PLATE PROX FEM 4H 4.5MM,2784.45
PLATE PROX HUMEROUS PERT ART 3H,3026.7
PLATE PROX HUMERUS LCKG 3-HL 86MM LEFT,2902.5
PLATE PROX HUMERUS LCKG 3-HL 86MM RIGHT,2902.5
PLATE PROX HUMERUS LCKG 5-HL 112MM LEFT,2902.5
PLATE PROX HUMERUS LCKG 5-HL 112MM RIGHT,2902.5
PLATE PROX LAT TIBIA LCKG 8-HL 173MM LEFT,2925.45
PLATE PROX LATERAL TIBIAL 3.5M LK 14H RT,2431.53
PLATE PROX LATERAL TIBIAL 3.5M LK 6H LT,2896
PLATE PROX LATERAL TIBIAL 3.5M LK 6H RT,2896
PLATE PROX LATERAL TIBIAL 3.5M LK 8H LT,2942
PLATE PROX LATERAL TIBIAL 3.5M LK 8H RT,2333.75
PLATE PROX LATERAL TIBIAL 5.5M LK 8H LT,2356.65
PLATE PROXIAL HUMERUS 6 HOLE,7537.5
PLATE PROXIMAL DORSAL ULNA 4H LT,1513.5
PLATE PROXIMAL DORSAL ULNA 4H RT,1513.5
PLATE PROXIMAL DORSAL ULNA 6H LT,1539
PLATE PROXIMAL DORSAL ULNA 6H RT,1539
PLATE PROXIMAL DORSAL ULNA 8H RT,1577.2
PLATE PROXIMAL FEMUR 100,3192
PLATE PROXIMAL FEMUR 4.5MM LCP 14 HOLE LEFT,3650.85
PLATE PROXIMAL HUMERAL 3.5MM,2983.95
PLATE PROXIMAL HUMEROUS,3078
PLATE PROXIMAL HUMEROUS 10 HOLE,3481.28
PLATE PROXIMAL HUMERUS  3 HOLE,6772.5
PLATE PROXIMAL HUMERUS 10 HOLE,3576.75
PLATE PROXIMAL HUMERUS 4 HOLE LEFT,6772.5
PLATE PROXIMAL HUMERUS 5 HOLE RIGHT,5972.4
PLATE PROXIMAL TIBIA 13H 300MM LEFT,3402
PLATE PROXIMAL TIBIA 13H 300MM RIGHT,3402
PLATE PROXIMAL TIBIA 5H140MM LEFT,3402
PLATE PROXIMAL TIBIA LCP 13HOLES 300MM LEFT,3392.93
PLATE PROXIMAL TIBIA LCP 9 HOLES 220MM LEFT,3263.25
PLATE PROXIMAL TIBIA LCP 9 HOLES 220MM RIGHT,3263.25
PLATE PROXIMAL TIBIA LCP13 HOLES RIGHT,3392.93
PLATE PROXIMAL TIBIA TI  9HOLES/220MM RIGHT,3402
PLATE PROXIMAL TIBIA TI 9HOLE LEFT,3402
PLATE PSPC MATRIX LEFT RECON,12965.63
PLATE RADIAL PIN 5-HOLE,1812.5
PLATE RADIAL PIN 7-HOLE,2062.5
PLATE RADIUS DVR ANATOMIC STD LEFT,1876.88
PLATE RAYHACK ULNAR BONE PLATE,2910
PLATE RECON 10 HOLE,1487.5
PLATE RECON 2.0,5327.4
PLATE RECON 3.5 LOCK LOW PROFILE 5H,1128.6
PLATE RECON 3.5 LOCK LOW PROFILE 9H,1313.85
PLATE RECON MANDIBLE 2.5MM,2340.8
PLATE RECON TI LCP 10 HOLE 3.5MM X 140MM,1131.45
PLATE RECON TI LCP 12 HOLE 3.5MM X 168MM,1229.78
PLATE RECON TI LCP 5 HOLE 3.5MM X70MM,860.7
PLATE RECON TI LCP 6 HOLE 3.5MM X 84MM,996.08
PLATE RECON TI LCP 7 HOLE 3.5MM X 98MM,1047.38
PLATE RECON TI LCP 8 HOLE 3.5MM X112MM,1092.98
PLATE RECONSTRUCTION  3.5MM 6 HOLE  70MM,775.2
PLATE RECONSTRUCTION  8 HOLE  94MM,847.88
PLATE RECONSTRUCTION 8 HOLE,675.45
PLATE ROUND SKULL BASE MALLEABLE,1212.5
PLATE SHORT 130 DEG DHS BARRE 4 HOLE 78MM STERILE,1204.5
PLATE SHORT BEND WRIST FUSION,4246.13
PLATE SHUNT BURR HOLE COVER 14MM,250
PLATE SKYLINE 48MM,2750
PLATE SKYLINE ANT CERV 1-LVL 12MM,2250
PLATE SKYLINE ANT CERV 1-LVL 14MM,2250
PLATE SKYLINE ANT CERV 1-LVL 16MM,2250
PLATE SKYLINE ANT CERV 1-LVL 28MM,2250
PLATE SKYLINE ANT CERV 2-LVL 30MM,2500
PLATE SKYLINE ANT CERV 2-LVL 32MM,2500
PLATE SKYLINE ANT CERV 2-LVL 34MM,2500
PLATE SKYLINE ANT CERV 2-LVL 38MM,2500
PLATE SM FRAG LOCKING HS RIGHT,1196.25
PLATE SML FRAG WAIST COMP 6-HL 78MM SS,315
PLATE SNOWMASS ACP 36MM 2-LVL,3900
PLATE SNOWMASS ACP 38MM 2-LVL,3900
PLATE SNOWMASS ACP 41MM 2-LVL,3900
PLATE SP-FIX LOCKING 26MM,5600
PLATE SP-FIX PIVOTING 26MM,5600
PLATE SPIDER 16MM SM FRAG,159
PLATE SPIDER 20MM MEDIUM,315
PLATE SQUARE 12MM 4-HOLE,530
PLATE STAND. LCP TI 3.5MM 90MM,3086.55
PLATE STANDARD BARREL 4 HOLE/178 MM 135 DEGREE,1048.8
PLATE STERNAL LOCKING  8 HOLE,1839.2
PLATE STERNAL LOCKING 12 HOLE,1924.9
PLATE STERNAL LOCKING STAR 6 HOLES,1747.25
PLATE STERNAL LOCKING STRAIGHT 12-HOLES,3147.55
PLATE STERNAL LOCKING STRAIGHT 8 HOLES,2102.55
PLATE STERNAL LOCKING WITHOUT PIN13 HOLE,2184.05
PLATE STERNUM TRITIUM 4-HOLE BOX-SHAPED 1-CABLE,1375
PLATE STERNUM TRITIUM 4-HOLE V-SHAPED,1297.5
PLATE STERNUM TRITIUM 6-HOLE 2-CABLES,1897.5
PLATE STERNUM TRITIUM 8-HOLE X-SHAPED 1-CABLE,1422.5
PLATE STRAIGHT 1.3 TI MOD HAND 6 HOLES,384.75
PLATE STRAIGHT 12 HOLE 96MM,2138.08
PLATE STRAIGHT LOCKING 2.0MM,783.75
PLATE STRAIGHT LOCKING RECON 2.4MM TI 20-HL,2959.45
PLATE STRAIGHT MINI 5 HOLE,127.53
PLATE STRAIGHT TI MATRIX NEURO 2-H 12MM,127.75
PLATE STRAIGHT TI MATRIX NEURO 4-H 24MM,145.78
PLATE STRAIGHT TITANIUM 6 HOLE 1.5 X 29MM,384.75
PLATE STRAIGHT TITANIUM LCP 3.5MM,725.33
PLATE STRAIGHT VAL 6 HOLE 2.0MM,961.88
PLATE STRGHT SLIM 4-HOLE,3477.5
PLATE STRGHT TIT 12 HOLE 2.0X71MM,505.88
PLATE STRGHT TIT 6 HOLE 2.4X36MM,464.55
PLATE STRUT 0.5MM,1486
PLATE STRUT TI MATRIX NEURO 2X3-H,815.1
PLATE STRUT TI MATRIX NEURO 2X4-H,1159.95
PLATE SUP DIS,1256.13
PLATE SUPERIOR CLAVICAL 6 HOLE,2930.85
PLATE SUPERIOR LATERAL 4 HOLE,3256.5
PLATE SUPERIOR LATERAL 5 HOLE,3256.5
PLATE SUPERIOR LATERAL L,3256.5
PLATE SUPERIOR MEDIAL CLAVICLE 10H RIGHT,1230.13
PLATE SUPERIOR MIDSHAFT 6 HOLE/LEFT,2930.85
PLATE SUPERIOR MIDSHAFT 7 HOLE,3256.5
PLATE SUPERIOR MIDSHAFT 7H RIGHT,2930.85
PLATE SURFACE 3.5MM QUADRILATERAL,769.5
PLATE SWIFT ACP 2-LEVEL 36MM,3629.2
PLATE SYNPOR FAN TI 0.8MM THICK,2999.15
PLATE T 0.8MM,627
PLATE T 2.7MM LCP,1410.75
PLATE T 3.5MM 3 HOLE RIGHT,892.05
PLATE T 35MM DISTAL TIB 3H,1446.38
PLATE T- FUSION VA-LCP LONG TI 2.4/2.7MM 2-HL-HD,1812.6
PLATE T- FUSION VA-LCP LONG TI 2.4/2.7MM 2-HL-HD/SHORT,1675.8
PLATE T- FUSION VA-LCP LONG TI 2.4/2.7MM 2-HL-HD/STANDARD,1768.43
PLATE T LCP LARGE FRAG 4-H 83MM,1188.45
PLATE T MHS 2 HD/8 SH 2.0 X 53MM,464.55
PLATE T TI 3 H HD/7 H SHAFT 2.0,849.3
PLATE T TIT 3 H HD/8 H SHFT 1.5X44MM,802.85
PLATE TEMPLATE FOR 2.0MM ML6 X 21 HOLES-RIGHT,270.86
PLATE TEMPLATE FOR 2MM 6 & 8 HOLE,270.86
PLATE TEMPORAL MALLEABLE,1135
PLATE THINFLAP WIDE 2-HOLE 18MM,295
PLATE THOR THORACOLUMBAR 64MM,15308
PLATE TI 1/3 TUB W/COLLAR 12HOLE,374.78
PLATE TI 13 HOLE 310MM RT,3402
PLATE TI LCP  2.0MM 2 HOLES/7 HOLES SHAFT,849.3
PLATE TI LCP 2.4MM 7HOLE,1152.83
PLATE TI LCP 2.7MM 2HOLE HEAD/3H SHAFT,1410.75
PLATE TI LCP 2.7MM 5HOLE/49MM,810.83
PLATE TI LCP 2.7MM 6 HOLE,810.83
PLATE TI LCP 3.5MM 10 HOLES 137MM,716.78
PLATE TI LCP 3.5MM 5 HOLES 72MM,574.28
PLATE TI LCP 3.5MM 6 HOLES 85MM,611.33
PLATE TI LCP 3.5MM 8 HOLES 111MM,668.33
PLATE TI LCP CONDYLAR 2.0MM  7 HOLES SHAFT,1510.5
PLATE TI LOW PROFILE CONTOUR MESH 100MMX 100MM/0.4 MM MALLEABLE,3925.03
PLATE TI LOW PROFILE NEURO BOX 16MM X 16MM /4 HOLES,443.6
PLATE TI MATRIX 90 DEG L- PL  2X2 MEDIUM/REVERSIBLE 0.7MM THK,610.28
PLATE TI MATRIX 90 DEG L- PL 2X2 LONG/REVERSIBLE 0.7MM THK,610.28
PLATE TI MATRIX ANATOMIC -L 3X3-HL SHT/REV 0.7MM,666.7
PLATE TI MATRIX ANATOMIC L PLATE3X3 SHORT 0.5MM,666.7
PLATE TI MATRIX L PLATE,610.28
PLATE TI MATRIX OBLIQUE L- PL  3X3 MEDIUM/REVERSIBLE 0.7MM THK,637.45
PLATE TI MATRIX OBLIQUE L PLATE3X3 MEDIUM 0.5MM,637.45
PLATE TI MATRIX OBLIQUE L PLATE3X3 SHORT 0.7MM,637.45
PLATE TI MATRIX PRE-BENT MAXILLARY,1022
PLATE TI MATRIX PRE-BENT MAXILLARY 2MM ADVMNT RIGHT,1022
PLATE TI MATRIX PREBENT MAXILLARY 2MM LEFT,1022
PLATE TI MATRIX PREBENT MAXILLARY 2MM LEFT,1022
PLATE TI MATRIX PRE-BENT MAXILLARY 4MM ADVMNT LEFT,1022
PLATE TI MATRIX PRE-BENT MAXILLARY 4MM ADVMNT RIGHT,1022
PLATE TI MATRIX PRE-BENT MAXILLARY 8MM ADVMNT LEFT,1022
PLATE TI MATRIXMIDFACE  4X6 HOLES 0.8MM RIGHT,746.13
PLATE TI MATRIXMIDFACE ADAPTION 20 HOLES 0.7MM THICK,1561.23
PLATE TI MATRIXMIDFACE ADAPTION 20 HOLES 0.8MM THICK,1561.23
PLATE TI MATRIXMIDFACE ADAPTION PLATE 20 HOLES 0.4MM THICK,1561.23
PLATE TI MATRIXMIDFACE BOX PLATE 4 HOLES 10MMX10MM 0.7MM THICK,704.33
PLATE TI MATRIXMIDFACE BOX PLATE 4 HOLES 5MMX10MM 0.7MM THICK,693.88
PLATE TI MATRIXMIDFACE DOUBLE Y-PL 6 HOLES 0.5MM THICK,704.33
PLATE TI MATRIXMIDFACE L-PL 3X4 HOLES 0.7MM RIGHT,721.05
PLATE TI MATRIXMIDFACE OBLIQUE 3 HOLES 0.7MM,704.33
PLATE TI MATRIXMIDFACE OBLIQUE L-PL 2X3 HOLES LEFT 0.7MM THICK,704.33
PLATE TI MATRIXMIDFACE OBLIQUE L-PL 2X3 HOLES RIGHT 0.7MM THICK,704.33
PLATE TI MATRIXMIDFACE ORBITAL RIM PLATE 12 HOLES 0.4MM THICK,861.08
PLATE TI MATRIXMIDFACE STRUT .7MMTHICK,1486
PLATE TI MATRIXMIDFACE T-PL 1X3 HOLES 0.7MM THICK,627
PLATE TI MATRIXMIDFACE Y-PL 1X 3 HOLES,693.88
PLATE TI MATRIXMIDFACE Y-PLATE 1X3 HOLES 0.7MM THICK,693.88
PLATE TI MLP COMPRESS 8HOLE 2MM,1208.03
PLATE TI MLP RIGHT EXTRA 6HOLES X 21HOLES,4142.38
PLATE TI STERNAL LOCKING 20-HOLE,4184.18
PLATE TI STERNAL LOCKING DOUBLE,2184.05
PLATE TI STERNAL LOCKING H,1924.9
PLATE TIBIA 1 HOLE LCP 3.5MM X 69MM STERILE,1923.75
PLATE TIBIA 10 HOLE LCP 3.5MM X 183MM,2076.23
PLATE TIBIA 6 HOLE 102MM LEFT,2815.8
PLATE TIBIA 6 HOLE LCP 3.5MM X 131MM STERILE,1980.75
PLATE TIBIA 8 HOLE LCP 3.5MM X 157MM STERILE,2054.85
PLATE TIBIA LOWBEND 3.5MM,2848.58
PLATE TIBIA PROX 3.5MM,1943.7
PLATE TIBIA PROX. 10H 177MM RIGHT,3489.83
PLATE TIBIA PROX. 3.5MM 6H 117MM RIGHT,3032.4
PLATE TIBIA PROX. MEDIAL 4 HOLE,6400
PLATE TIBIA PROX. MEDIAL 4 HOLE LEFT,6400
PLATE TIBIA PROX. MEDIAL 5 HOLE LEFT,6607.5
PLATE TIBIA PROX. MEDIAL 5 HOLE RIGHT,6607.5
PLATE TIBIAL 10 HOLE,2987.5
PLATE TIBIAL VA-LCP 2.7MM 4 HOLE RIGHT,1670.1
PLATE TIBIAL VA-LCP 2.7MM 4 HOLE/LEFT,1670.1
PLATE TITANIUM MIDSHAFT INCREASED CURVATURE 8 HOLE 97MM,3256.5
PLATE TITANIUM OCCIPITAL MEDIAL 50MM,4250
PLATE TRIAL TEMP MID-SHAFT ULNA,252.5
PLATE TRILOCK 1.2/1.5 ROTATION 6-HOLE (3/3),1491
PLATE TRILOCK 1.2/1.5 T 8-HOLE (3/5),1462.13
PLATE TRILOCK 1.2/1.5 TRAPEZOID 8-HOLE (4X2),1800.75
PLATE TRILOCK 1.2/1.5MM 4-HOLE STRAIGHT,1372.88
PLATE TRILOCK 2.0/2.3 2/4 HOLE L SHAPE,2294.25
PLATE TRILOCK 2.0/2.3 2/4 HOLE L SHAPE RIGHT,2294.25
PLATE TRILOCK 2.0/2.3 4-HOLE STRAIGHT,1981.88
PLATE TRILOCK 2.0/2.3 5-HOLE STRAIGHT,2294.25
PLATE TRILOCK 2.0/2.3 6-HOLE STRAIGHT,2124.7
PLATE TRILOCK 2.0/2.3 6-HOLE STRAIGHT BAR,1430.63
PLATE TRILOCK 2.0/2.3 8-HOLE STRAIGHT,2246.25
PLATE TRILOCK 2.0/2.3 L 10-HOLE (2/8) LEFT,2425.5
PLATE TRILOCK 2.0/2.3 L 6-HOLE (2/4) LEFT,1462.13
PLATE TRILOCK 2.0/2.3 L 6-HOLE (2/4) RIGHT,1462.13
PLATE TRILOCK 2.0/2.3 T 10-HOLE (2/8),2425.5
PLATE TRILOCK 2.0/2.3 T 6-HOLE (2/4),1363.8
PLATE TRILOCK 2.0/2.3 T 6-HOLE (2/4),2294.25
PLATE TRILOCK 2.0/2.3 Y 7-HOLE (2/5),1407.58
PLATE TRILOCK 2.5 2/5 HOLE Y,2425.5
PLATE TRILOCK 2.5 RAD CORRECT 12-HL NAR VOLAR LEFT,3000
PLATE TRILOCK 2.5 RAD CORRECT 12-HL NAR VOLAR RIGHT,3000
PLATE TRILOCK 2.5 RAD CORRECT 13-HL NAR LG VOLAR RIGHT,2875.9
PLATE TRILOCK 2.5 RAD CORRECT 15-HL LONG VOLAR RIGHT,2875.9
PLATE TRILOCK 2.5 RAD CORRECTION 14-HL VOLAR LEFT,2875.9
PLATE TRILOCK 2.5 RAD SML FRAG 5-HL CURVE LEFT,2181.38
PLATE TRILOCK 2.5 RAD SML FRAG 5-HL CURVE RIGHT,2181.38
PLATE TRILOCK 2.5 RAD SML FRAG 6-HL STRAIGHT,2020.18
PLATE TRILOCK 2.5 RAD SML FRAG L 6-HL (2/4) LEFT,2181.38
PLATE TRILOCK 2.5 RAD SML FRAG L 6-HL (2/4) RIGHT,2181.38
PLATE TRILOCK 2.5 RADIUS H 12-HL DORSAL LEFT,2875.9
PLATE TRILOCK 2.5 RADIUS H 12-HL DORSAL RIGHT,2875.9
PLATE TRILOCK 2.5 WATERSHED RADIUS VOLAR LEFT,3000
PLATE TRILOCK 2.5 WATERSHED RADIUS VOLAR RIGHT,3000
PLATE TRILOCK 2.5 Y 7-HL (2/8),2556.75
PLATE TRILOCK 20/2.3 Y 4 CF,3176.25
PLATE TRINCA SET 22 MM,1500
PLATE TRINICA ALP LUMBAR 39MM X 32DEG,3750
PLATE TRINICA ANT LUMBAR 35MM X 32DEG,3750
PLATE TRINICA ANT LUMBAR 37MM X 32DEG,3750
PLATE TRINICA ANT LUMBAR 39MM X 16DEG,3750
PLATE TRINICA ANT LUMBAR 41MM X 32DEG,3750
PLATE TRINICA ANT LUMBAR 43MM X 32DEG,3750
PLATE TRINICA SACRAL 65 DEGREES 37MM,3750
PLATE TRINICA SACRAL 80 DEGREES 39MM,3750
PLATE TRINICA SACRAL 80 DEGREES 41MM,3750
PLATE TRINICA SEL ANT CERVICAL 1-LVL 28MM,1500
PLATE TRINICA SEL ANT CERVICAL 1-LVL 32MM,1500
PLATE TRINICA SEL ANT CERVICAL 1-LVL 34MM,1500
PLATE TRINICA SEL ANT CERVICAL 20MM 1-LVL,1500
PLATE TRINICA SEL ANT CERVICAL 22MM 1-LVL,1500
PLATE TRINICA SEL ANT CERVICAL 24MM 1-LVL,1500
PLATE TRINICA SEL ANT CERVICAL 26MM 1-LVL,1500
PLATE TRINICA SEL ANT CERVICAL 2-LVL 44MM,1750
PLATE TRINICA SEL ANT CERVICAL 2-LVL 46MM,1750
PLATE TRINICA SEL ANT CERVICAL 2-LVL 48MM,1750
PLATE TRINICA SEL ANT CERVICAL 2-LVL 50MM,1750
PLATE TRINICA SEL ANT CERVICAL 2-LVL 52MM,1750
PLATE TRINICA SEL ANT CERVICAL 30MM 1-LVL,1500
PLATE TRINICA SEL ANT CERVICAL 36MM 2-LVL,1750
PLATE TRINICA SEL ANT CERVICAL 38MM 2-LVL,1750
PLATE TRINICA SEL ANT CERVICAL 40MM 2-LVL,1750
PLATE TRINICA SEL ANT CERVICAL 42MM 2-LVL,1750
PLATE TRINICA SELECT 22MM,1500
PLATE TRINICA SELECT ANTERIOR CERVICAL  54MM,2000
PLATE TRINICA SELECT ANTERIOR CERVICAL  57MM,2000
PLATE TRINICA SELECT ANTERIOR CERVICAL  60MM,2000
PLATE TRINICA SELECT ANTERIOR CERVICAL  63MM,2000
PLATE TROCHANTERIC STABILIZING 4 HOLES 135 DEGREES,1392.3
PLATE TSLP-THORACOLUMBAR SPINE LOCKING TI 52MM,9322.5
PLATE TSLP-THORACOLUMBAR SPINE LOCKING TI 61MM,7750
PLATE TUBULAR 10 HOLE 3.5MM 100 DEGREES,178.5
PLATE TUBULAR TI LCP W/COLLAR 5 HOLES/57MM,330.6
PLATE TUBULAR TI LCP W/COLLAR 6 HOLES/69MM,330.6
PLATE TUBULAR TI LCP W/COLLAR 7 HOLES/81MM,337.73
PLATE TUBULAR TI LCP W/COLLAR 8 HOLES/93MM,356.25
PLATE ULNA MIDSHAFT 10-HOLE,1590
PLATE ULS TI RECON 3H 3.5MM,1023.63
PLATE ULS TI RECON 4H 3.5MM,1056.88
PLATE ULS TI RECON 6H 3.5MM,1223.13
PLATE UN3 BOX SMALL,170
PLATE UN3 BURR HOLE COVER 10MM,213.03
PLATE UN3 BURR HOLE COVER 7MM,213.03
PLATE UN3 GAP 6HOLE LARGE,250
PLATE UN3 GAP 6HOLE LARGE,247.5
PLATE UN3 RECTANGLE 0.4MM,250
PLATE UNIPLATE 1-LVL 13MM,1937.5
PLATE UNIPLATE 1-LVL 14MM,1937.5
PLATE UNIPLATE 1-LVL 16MM,1937.5
PLATE UNIPLATE 1-LVL 18MM,1937.5
PLATE UNIPLATE 1-LVL 20MM,1937.5
PLATE UNIPLATE 2-LVL 26MM,2125
PLATE UNIPLATE 2-LVL 28MM,2125
PLATE UNIPLATE 2-LVL 30MM,2125
PLATE UNIPLATE 2-LVL 32MM,2125
PLATE UNIPLATE 2-LVL 34MM,2125
PLATE UNIPLATE 2-LVL 36MM,2125
PLATE UNIPLATE 2-LVL 38MM,2125
PLATE UNIPLATE 3-LVL 45MM,2250
PLATE UNIPLATE 3-LVL 51MM,2250
PLATE UNIPLATE 3-LVL 54MM,2250
PLATE V2F LUMBAR 50MM,3750
PLATE VA DISTAL RADIUS 7H,1956.53
PLATE VA FOREFOOT/MIDFOOT TMT FUSION STD,2040
PLATE VA LCP 2.7MM / 3.5MM  ANTERIOR CLAVICLE 10 HOLE 101MM,1865.33
PLATE VA LCP 2.7MM / 3.5MM  ANTERIOR CLAVICLE 7 HOLE 77MM,1865.33
PLATE VA LCP 2.7MM / 3.5MM  ANTERIOR CLAVICLE 9 HOLE 89MM,1865.33
PLATE VA LCP 2.7MM/3.5MM  ANTERIOR CLAVICLE 11 HOLE 113MM,1865.33
PLATE VA LCP DISTAL VOLAR 2.4MM 7 HOLE LEFT,2106.15
PLATE VA LCP DISTAL VOLAR 2.4MM 7 HOLE RIGHT,2106.15
PLATE VA LCP FIRST TMTFUSION LARGE 2.4 /2.7MM,1938
PLATE VA LCP T- FUSION  2.4 /2.7MM 2-H/SHORT,1675.8
PLATE VA LCP T- FUSION  2.4 /2.7MM 2-H/STANDARD,1719.98
PLATE VA LCP TMT FUSION  2.4 /2.7MM,1761.3
PLATE VAL CONDYLAR 2 H HD 6 H SHAFT 2MM,1104.38
PLATE VA-LCP 2.7/3.5MM MEDLDHP 6H/RT/137MM XLONG,2302.8
PLATE VA-LCP 2.7MM / 3.5MM MED HUM  LEFT SHORT,2232.98
PLATE VA-LCP 2.7MM / 3.5MM MEDIAL DISTAL HUM  LEFT 2 HOLES MED,2232.98
PLATE VA-LCP 2.7MM 3.5MM LAT DSTLHUM 1H/LT/69 MM SHORT,2232.98
PLATE VA-LCP 2.7MM 3.5MM LAT DSTLHUM 2H/LT/ MED,2232.98
PLATE VA-LCP 2.7MM 3.5MM LAT DSTLHUM 7H/LT,2302.8
PLATE VA-LCP 2.7MM 3.5MM LAT DSTLHUM 7H/RT X-LONG,2232.98
PLATE VA-LCP 2.7MM 3.5MM MEDL DSTLHUM 1H/RT/69 MM SHORT,2232.98
