FIM DESCRIPTION,LH PRICE
EEG PORTABLE AWAKE AND ASLEEP,2164
EEG ROUTINE AWAKE ASLEEP,1536
EEG ROUTINE AWAKE DROWSY,900
EGFR MUTATION ANALYSIS,825
EHRLICHIA ANTIBODY,37.78
EHRLICHIA CHAFFEENSIS IGG/IGM ANT,37.78
EKG,281
EKG,281
EKG - 12 LEAD,281
EKG ADD L SAME DATE,281
ELBOW 2 VIEWS LT,477
ELBOW 2 VIEWS RT,477
ELBOW MIN 3 VIEWS LEFT,612
ELBOW MIN 3 VIEWS RIGHT,612
ELEC STIM MAN EA 15 MIN,107
ELEC STIMULATION  UNATTND,100
ELEC STIMULATION MANUAL EA 15 MIN,107
ELECT STIM ATT EA 15 MIN,107
ELECT STIM ATT EA 15 MIN MOD 59,107
ELECT STIM MAN EA 15 MIN,107
ELECT STIM UNATT,100
ELECT STIM UNATT MOD 59,100
ELECTRIC STIM ATTENDED EA 15 MIN,107
ELECTRIC STIM UNATTENDED,100
ELECTROLYTES,24.27
ELECTRON MICROSCOPY,467.92
ELUTION ARC EACH,97
EMBOLIZATION DEVICE LEVEL 1,250
EMBOLIZATION DEVICE LEVEL 3,950
EMBOLIZATION DEVICE LEVEL 5,2050
EMBOLIZATION DEVICE LEVEL 7,2350
EMBOLIZATION DEVICE LEVEL 9,3050
ENA ANTIBODY PANEL,65.56
ENA QUANT SCREEN,47.04
ENDOMYSIAL AB TITER,28.78
ENDOMYSIAL IGA AB SCRNW/RFLX TITR,44.04
ENTAMOEBA HISTOLYTICA AB,57.05
ENTEROVIRUS ANTIBODY,22.39
ENTEROVIRUS RNA QUAL REAL-TIMEPCR,121.36
ENZYME DETECT-BETA LACTAMASE,18.52
EOSINOPHIL SMEAR URINE,19.52
EPIFIX P/SQ CM 1.4 SQ CM PIECE,704
EPIFIX P/SQ CM 1.8 SQ CM PIECE,1116
EPIFIX P/SQ CM 12.25 SQ CM MESH,430
EPIFIX P/SQ CM 18 SQ CM MESH,349
EPIFIX P/SQ CM 4 SQ CM PIECE,1197
EPIFIX P/SQ CM 6 SQ CM MESH,1046
EPIFIX P/SQ CM 6 SQ CM PIECE,858
EPIFIX P/SQ CM 8 SQ CM PIECE,759
ER DRUG SCREEN SERUM,200
ERCP BILIARY COMPLETE,1707
ERCP COMPLETE,1707
ERCP COMPLETE,1707
ERCP PANCREATIC COMPLETE,1707
ERYTROPOIETIN,57.05
ESOPHAGEAL MOTILITY,1492
ESOPHAGUS,1110
ESOPHAGUS SWALL FUNCT,410
ESOPHAGUS W BARIUM LTD,395
ESSENTIAL & METABOLIC FATTY ACID,38.28
EST PT LEVEL 1 WO PROC,131
EST PT LEVEL 2 W PROC,219
EST PT LEVEL 2 WO PROC,219
EST PT LEVEL 3 W PROC,307
EST PT LEVEL 3 WO PROC,307
EST PT LEVEL 4 W PROC,437
EST PT LEVEL 4 WO PROC,437
EST PT LEVEL 5 W PROC,570
EST PT LEVEL 5 WO PROC,570
ESTIM UNATTENDED,100
ESTIM UNATTENED,100
ESTRADIOL 17 BETA,108.1
ESTRIOL UNCONJUGATED,92.08
ESTROGENS TOTAL,76.32
ESTRONE,90.83
ESWL LEFT,14415
ESWL RIGHT,14415
ETC CRITICAL CARE W/ PROC,4893
ETC CRITICAL CARE W/O PROC,4893
ETC E&M LEVEL 1 W/  PROCEDURE,347
ETC E&M LEVEL 1 W/O PROCEDURE,347
ETC E&M LEVEL 2 W/  PROCEDURE,434
ETC E&M LEVEL 2 W/O PROCEDURE,434
ETC E&M LEVEL 3 W/  PROCEDURE,598
ETC E&M LEVEL 3 W/O PROCEDURE,598
ETC E&M LEVEL 4 W/  PROCEDURE,1099
ETC E&M LEVEL 4 W/O PROCEDURE,1099
ETC E&M LEVEL 5 W/  PROCEDURE,2244
ETC E&M LEVEL 5 W/O PROCEDURE,2244
ETC PROCEDURE LEVEL 1,250
ETC PROCEDURE LEVEL 2,525
ETC PROCEDURE LEVEL 3,750
ETC PROCEDURE LEVEL 4,1350
ETC PROCEDURE LEVEL 5,1750
ETC PROCEDURE LEVEL 6,2300
ETC PROCEDURE LEVEL 7,2800
ETC PROCEDURE LEVEL 8,3300
ETC PROCEDURE LEVEL 9,3800
ETHOSUXIMIDE,63.81
ETHYLENE GLYCOL,40.29
EVAL NON SPEECH AAC ADDL 30,100
EVAL NON SPEECH AAC ADDL 30,100
EVAL NON SPEECH AAC FIRST HR,304
EVAL NON SPEECH AAC FIRST HR,304
EVAL PROSTHETIC DEVICE,346
EVAL PROSTHETIC DEVICE,346
EVAL SPEECH AAC ADDL 30,154
EVAL SPEECH AAC FIRST HR,383
EVAL SPEECH FLUENCY,409
EVAL SPEECH FLUENCY,409
EVAL SPEECH SOUND PROD,330
EVAL SPEECH SOUND PROD,330
EVAL SWALLOW ORAL FUNCTIO,704
EVAL SWALLOW ORAL FUNCTION,704
EXC BEN LES TRK/EXT <=0.5CM,1411
EXC BEN LES TRK/EXT >4.0CM,3317
EXC BEN LES TRK/EXT 0.6-1.0CM,1398
EXC BEN LES TRK/EXT 1.1-2CM,1523
EXC BEN LES TRK/EXT 2.1-3CM,2176
EXC BEN LES TRK/EXT 3.1-4CM,2632
EXCISION 2.1-3.0 CM,2751
EXPLORE PENETRATING WOUND EXTREM,4385
EXTENDED FORENSIC EXAM,240
EXTENDED K RAS MUTATION,493
EXTERNAL CARDIOVERSION IN RR,1200
EYE CULT & STAIN (2 OF 2) GRAM ST,17.52
EYE CULT-1OF2,33.53
F2 GENE,51.76
F5 GENE ANAL LEIDEN VARIANT,85.8
FACIAL BONES 1-3 VIEW,468.51
FACIAL BONES MIN 3 VIEWS,1031
FACTOR II ACTIVITY,20.02
FACTOR IX ASSAY,71.56
FACTOR V ASSAY,66.81
FACTOR VII ASSAY,62.81
FACTOR VIII ACTIVITY,68.06
FACTOR VIII ASSAY,68.06
FACTOR X ASSAY,69.81
FACTOR XI ASSAY,69.81
FACTOR XII ASSAY,65.56
FANA STAINING PATTERNS TITER,39.79
FECAL FAT QUANT,65.56
FECAL HGB IMMUNOASSAY QUA,57.05
FEESR,612
FEESR,612
FEESST,612
FEESST,612
FELST,612
FELST,612
FEMUR 2 VIEWS LEFT,750
FEMUR 2 VIEWS RIGHT,750
FERRITIN,53.3
FETAL DOP COLOR FLOW EA ADD FETUS,675
FETAL DOP COLOR FLOW INIT FETUS,675
FETAL DOPPLER EA ADD FETUS,667
FETAL DOPPLER INIT FETUS,667
FETAL ECHOCARDIOGRAM EA ADD FETUS,859
FETAL ECHOCARDIOGRAM INIT FETUS,859
FETAL FIBRONECTIN,222.7
FETAL LUNG MAT ASSESS,42.04
FETAL SC HGB F QUAL,36
FFP DIVIDE,617
FFP THAWING EA UNIT,119.24
FIBRINOGEN,34.28
FIDUCIAL TISSUE MARKER EACH,405
FINGER(S) LT MIN 2 VIEW,415
FINGER(S) RT MIN 2 VIEW,415
FISH BLADDER CANCER (UROVYSION),328.87
FISH DNA PROBE EACH,41.79
FISTULA S&I,1598
FLO CYTOMETRY CELL SURF MARKER EA,16.5
FLOWCYTOMETRY 1 MARKER,362
FLOWCYTOMETRY EACH ADD MARKER,16.5
FLOWCYTOMETRY EACH ADD MARKER,16.5
FLOWCYTOMETRY/TC 1ST MARKER,362
FLOWCYTOMETRY/TC ADD-ON,16.5
FLOWCYTOMETRY/TC EA ADDL MARK,16.5
FLUID ALBUMIN,6.01
FLUID AMYLASE,25.27
FLUID CREATININE,20.27
FLUID GLUCOSE,13.51
FLUID TOTAL PROTEIN,5
FLUID TRIGLYCERIDES,5
FLUID-CELL COU W/DIFF,21.52
FLUIDOTHERAPY,268
FLUIDOTHERAPY MOD 59,268
FLUIDOTHERAPY OT,268
FLUIDOTHERAPY OT,268
FLUIDOTHERAPY/1,268
FLUORESCENT ANTIBODY SCREEN EACH,44.04
FLUORESCENT ANTIBODY TITER,28.78
FLUORESCENT ANTIBODY TITER EA,28.78
FLUORO EXAM SEP PROC W/ RAD,413
FLUORO EXAM SEP PROC W/O RAD,413
FLUORO GUIDANCE NEEDLE PL,1216
FLUORO GUIDE NDL BIOPSY/FNA,1475.09
FLUORO GUIDED CV ACCESS,397
FLUORO GUIDED CV ACCESS,397
FLUORO GUIDED NEEDLE LIV,1216
FLUORO GUIDED NEEDLE PANC,1216
FLUORO GUIDED NEEDLE RETR,1216
FLUORO IN OR ASSIST,413
FLUORO NEEDLE PLCMNT LUNG,463
FLUOROGUIDE FOR SPINE INJECT,632
FLUOROGUIDE FOR SPINE INJECT,632
FLUORO-NG/OG TUBE W/RAD,645
FLUOROSCOPE EXAMINATION,514.56
FLUOROSCOPE EXAMINATION,514.56
FNA INTERP/RPT W/ OR W/O IMAGE,43.56
FNA W/IMAGING GUIDANCE,1945
FNA-ASSESSMENT ONLY,232
FOLATE  RBC,56.55
FOLATE RBC,56.55
FOLATE SERUM,56.55
FOLEY CATH INSERTION,568
FOLLOW-UP ANGIOGRAPHY,1716
FOOT 2 VIEWS LEFT,332
FOOT 2 VIEWS RIGHT,332
FOOT MIN 3 VIEWS LT,634
FOOT MIN 3 VIEWS RT,634
FOREARM 2 VIEWS LEFT,612
FOREARM 2V RIGHT,612
FOREIGN BODY CHILD STUDY 1V,308
FORENSIC CONSULT/RESPONSE,100
FRACTIONAL UA,12.51
FRACTIONATED CATECHOLEMIN,97.09
FRAGILE X METHYLATION ANALYSIS,250.22
FREE PSA,63.56
FREE PSA II (1 OF 2),63.56
FREE SERUM LIGHT CHAINS,23.36
FREE SERUM LIGHT CHAINS,23.36
FREE T3,66.06
FREE T4,34.28
FREE T4 DIRECT ANALYSIS,34.28
FRESH FROZEN PLASMA,381
FROZEN SECTION 1ST BLOCK,175.16
FROZEN SECTION 1ST BLOCK,175.16
FROZEN SECTION EA ADDTL,72.56
FROZEN TISSUE FIRST,175.16
FRUCTOSAMINE,47.54
FSH,72.56
FTA IGM,28.85
FTA TOTAL,28.85
FUNGUS CULT SKIN/HAIR/NAI,30.03
FUNGUS CULTURE BLOOD,34.78
FUNGUS CULTURE OTHER,32.78
G6PD GENE ANALYSIS COMMON VARIANT,84
G-6-PD QUANT BLOOD AND RBC,37.03
GABAPENTIN,48.79
GAD65 BY RIA,48.79
GAIT TRAIN EA 15 MIN,185
GAIT TRAIN EA 15 MIN,185
GAIT TRAIN EA 15 MIN MOD 59,185
GALACTOMANNAN ANTIGEN,38.03
GALLIUM PER MCI,50
GANGLIOSIDE GM-1 (IGG) AB 1OF2,48.04
GANGLIOSIDE GM-1 (IGM) AB 2OF2,48.04
GASTRIC EMPTYING STUDY,1729
GASTRIN,66.81
GC CHLAMYDIA AMPLIFIED PROBE 1OF2,121.36
GC SCREEN,22.27
GC(2 OF 2)AMPLIFIED PROBE,121.36
GE REFLUX STUDY,3065
GEL  RED CELL PREP ARC,47.61
GENE REARRANGE OTHER THAN BCR/ABL,406
GENIT CULT-1OF2,33.53
GENITAL CULT (2 OF 2) GRAM STAIN,17.52
GENTAMICIN,66.56
GENTAMICIN SINGLE,66.56
GGT 3OF6,5
GGTP,5
GI PROC LVL 1,4965
GI PROC LVL 3 EUS COMP/COMB,11766
GI PROC LVL2 ERCP/EUS/ENDO W/STEN,6645
GIARDIA AG POS,38.03
GLIADIN IGC & IGA AB,48.04
GLOMERULAR BSMNT MEMBR AB(IGG),48.04
GLU TOL 2 HR,50.04
GLU TOL SERUM 3HR 1OF2,50.04
GLUC TOL PREG 1OF2,50.04
GLUCAGON,54.3
GLUCOSE 1 HR MATERNAL GTT 1OF2,5
GLUCOSE 1HR GLUCOLA,17.52
GLUCOSE 2HR PP,17.52
GLUCOSE 2HR PP 1OF2,5
GLUCOSE 6 PHOS DEHYDROGEN  QUANT,37.03
GLUCOSE FASTING,5
GLUCOSE FASTING 2 OF 2,5
GLUCOSE FASTING 2OF2,5
GLUCOSE RANDOM,5
GLUCOSE TOLERANCE 2 HOUR,50.04
GLUTAMIC ACID DECARBOXYLASE-65 AB,87.58
GLYCOMARK,39.79
GRAFIX P/SQ CM 3X4 PIECE,506
GRAM STAIN ONLY,17.52
GROSS AND MICRO II,50.04
GROSS AND MICRO III,75.07
GROSS AND MICRO IV,150.13
GROSS AND MICRO V,260.23
GROSS AND MICRO VI,352.81
GROSS SPECIMEN,32.93
GROUP THERAPEUTIC PROCEDU,95
GROUP THERAPEUTIC PROCEDURE,95
GRP B STREP SCR PENICILLIN ALLERG,22.27
GUIDEWIRE LEVEL 1,275
GUIDEWIRE LEVEL 11,1275
GUIDEWIRE LEVEL 15,1675
GUIDEWIRE LEVEL 2,375
GUIDEWIRE LEVEL 3,475
GUIDEWIRE LEVEL 4,575
GUIDEWIRE LEVEL 5,675
GUIDEWIRE LEVEL 6,775
GUIDEWIRE LEVEL 8,975
GUIDING CATHETER LEVEL 1,280
GUIDING CATHETER LEVEL 2,380
GUIDING CATHETER LEVEL 3,480
GUIDING CATHETER LEVEL 4,775
GUIDING CATHETER LEVEL 6,1650
GUIDING CATHETER LEVEL 7,1750
GUIDING CATHETER LEVEL 9,2050
H PYLORI STOOL AG,40.04
H.PYLORI IGG/IGA ABS,57.05
HA1C,37.03
HAEMOPHILUS INFLUENZAE B AB IGG,57.05
HAND 2V LT,496.65
HAND 2V RT,496.65
HAND METACARP FX PREFB INC FIT/AD,382
HAND METACARP FX PREFB W FIT/ADJ,382
HAND METACARP FX PREFB W FIT/ADJ,382
HAND ROUTINE MIN 3V LEFT,535
HAND ROUTINE MIN 3V RIGHT,535
HAPTOGLOBIN 4OF6,48.29
HAPTOGLOBIN QUANT,48.29
HAPTOGLOBIN QUANT 6OF10,48.29
HBG & HCT (1 OF 2),7.51
HBG & HCT (2OF2) HCT,7.51
HBO TREATMENT P/HALF HR,494
HCG BETA W/O TITER,29.03
HCGB-TITRE,47.54
HCV FIBROSURE 1OF6,57.3
HCV RNA BY PCR  QN RFX GENO,148.13
HCV RNA PCR QUAL,121.36
HCV RNA QUANTITATIVE,148.13
HEAT SHOCK PROTEIN 70 AB,75.57
HEAVY METALS PROFILE  URINE 24HR,75.57
HEAVY METALS PROFLE BLOOD ARSENIC,75.57
HELICOBACTER PYLORI AB Q,57.05
HEMATOCRIT FLUID,19.52
HEMO/AGG AS EA ARC,300
HEMO/AGGL INCUBATED ARC,30
HEMOCHROMATOSIS GENE ANAL,87.75
HEMODIALYSIS I/P,4535
HEMOGLOBIN  FREE  PLASMA,13.54
HEMOGLOBIN A1C,37.03
HEMOGLOBIN S NEGATIVE,17.52
HEMOGLOBINOPATHY EVALUATION,62.56
HEP A AB IGM,39.03
HEP B CORE AB IGM,40.79
HEP B CORE ANTIBODY TOTAL,41.79
HEP B SURF ANTIBODY,37.03
HEP B SURF ANTIBODY/2,37.03
HEP B SURF ANTIGEN,35.78
HEP B VIRUS DNA QUANT,148.13
HEP C VIRUS AB W/BANDS,53.55
HEPARIN ANTI-XA,19.02
HEPARIN IND THROMBOCYTOPENIA IGG,28.78
HEPARIN INDUCED THROMBOCI,28.78
HEPATIC FUNCTION PANEL,28.28
HEPATIC VENO  W/O HEMODY,8313
HEPATITIS A TOTAL AB,42.79
HEPATITIS BE ANTIBODY,40.04
HEPATITIS BE ANTIGEN,39.79
HEPATITIS C ANTIBODY,49.29
HEPATITIS C ANTIBODY/2,49.29
HEPATITIS C GENOTYPE,121.36
HEPATITIS C GENOTYPE,890.24
HEPATOBIL SYST IMAG W DRUG,1320
HEPATOBILIARY SYSTEM IMAGING,1320
HEPATOLITE TC99M DISOFEN TO 15MCI,22
HEPTIMAX HCV,148.13
HER-2/NEU PARAFFIN BLOCK (FISH),541
HERPES SIMP 1&2 IGM AB,54.55
HERPES SIMPLEX 1&2 IGG AB,57.05
HERPES SIMPLEX 2 IGG AB,72.81
HERPES SIMPLEX 2/2 IGG AB,72.81
HERPES SIMPLEX CULTURE,118.38
HERPES SIMPLEX TYPING,15.26
HERPES SIMPLEX VIRUS CULT AND TYP,118.38
HERPES SIMPLEX VIRUS PCR,60.3
HERPES SIMPLEX VIRUS PCR/1,60.3
HERPESVIRUS 6  IGG IGM AB 1OF2,57.05
HERPESVIRUS 6  IGG IGM AB 2OF2,57.05
HGB,7.51
HI SS APP FOOT 1ST 100CM2>100CM2,3345
HI SS APP FOOT 1ST 25CM2 <100CM2,3345
HI SS APP FOOT EA AD100CM2>100CM2,3345
HI SS APP LEG 1ST 100CM2 >100CM2,3345
HI SS APP LEG 1ST 25CM2 <100CM2,3345
HI SS APP LEG EA ADD 25CM2<100CM2,3345
HI SS APP LEG EA ADD100CM2>100CM2,3345
HI SS APPFOOT EA ADD 25CM2<100CM2,3345
HIAA 5,41.79
HIP AP FOLLOWUP RT 1V,286
HIP APA FOLLOW-UP LT 1V,286
HIP INIT EXAM BILA MIN 2V,1031
HIP INTRAOP LT,286
HIP INTRAOP RT,286
HIP MIN 2 VIEWS LEFT,945
HIP MIN 2 VIEWS RIGHT,945
HIPPS CODE,0
HISTAMINE PLASMA,108.85
HISTOCHEMICAL STAINS ADD-ON,100.09
HISTONE DNA COMPLEX IGG ANTIBODY,65.56
HISTONE-DNA COMPLEX IGG AB,37.53
HISTOPLASMA AB COMP FIXATN SERUM,21.48
HISTOPLASMA GALACTOMANNAN AG URIN,38.03
HIV 1 GENOTYPE,294.26
HIV 1 RNA  QUALITATIVE TMA,121.36
HIV 1 RNA QUANTITATION,294.26
HIV 1/2 AB DIFFERENTIATION,34.78
HIV AB,48.79
HIV-1 GENO W/REV TRANS&PROT INHIB,929.57
HIV-1 PHENOSENSE EA ADDL,113
HIV-1 PHENOSENSE FIRST 1-10,1937
HLA A  B TYPE PLT TX,176
HLA A B C DR TYPING,176
HLA A B C FAM INTERMED,163
HLA ANTIBODY SCREEN,249
HLA B 27 DISEASE ASSOCIATION,248.12
HLA B5701 TEST,193.2
HLA CROSSMATCH,208
HLA FAM INTERMED,408
HLA II TYPING 1 ALLELE EA,375
HLA II TYPING 1 LOCUS HR EA3OF3,360
HLA II TYPING 1 LOCUS LR EA2OF3,255.12
HLA II TYPING AG EQUIV LR,175
HLA TYPING DR,360
HLA TYPING FOR CELIAC DISEASE1OF3,255.12
HLA TYPING SGL TYPING,406
HLA/SDP LEUKOREDUCED,3022
HLA-B27 ANTIGEN,163
HOLT MONIT/RECORDING UP TO 48 HRS,435
HOLT MONIT/SCAN REPRT UP TO 48 HR,550
HOMOCYSTEINE,75.07
HOT PACKS,50
HOT PACKS,50
HOT PACKS/2,50
HOT/COLD PACK,50
HPV HIGH-RISK TYPES,121.36
HPV TYPES 16 & 18 ONLY,121.36
HSV 1 IGM TITER,57.05
HSV 1/2 PCR CSF,60.3
HSV 1/2AB(IGM) IFA W/RFLX TO TITR,57.05
HSV 2 IGM TITER,72.81
HSV 2/2 PCR CSF,60.3
HSV DNA AMP PROBE,60.3
HTLV 1/11,57.05
HTLV-I/II IMMUNOBLOT,57.05
HU AB SCRN RFLX TITR&WESTRN BLOT,44.04
HU AB TITER  SERUM,28.78
HU YO RI AB W/RLX TITR WEST BLOT,44.04
HUBBARD TANK EA 15 MIN,248
HUMAN GROWTH HORMONE,64.56
HUMERUS MIN 2 VIEWS LEFT,734
HUMERUS MIN 2 VIEWS RIGHT,734
HYALOMATRIX P/SQ CM 10X10 PIECE,24.37
HYALOMATRIX P/SQ CM 10X20 PIECE,22.18
HYALOMATRIX P/SQ CM 2.5X2.5 PIECE,63
HYALOMATRIX P/SQ CM 5X5 PIECE,28
HYDROXYPROGEST 17 ALPHA,105.84
HYPERSENSITIVITY PNEUMONITIS SCRN,47.61
HYSTEROSALPINGOGRAM,1260
I&D ABSCESS SIMPLE/SINGLE,643
I&D HEMATOMA  SEROMA,2830
I&D POSTOP INFECTION CMPLX,4307.59
I&D-COMPLICATED/MULTIPLE,643
I123 DX (100-999 UCI),202
I-123 MIBG  PER DOSE UP TO 15MCI,10155
I-123 SODIUM IODIDE P/MCI,449
I-131 DIAG PER 100 UCI,73
I131 DIAG SOL PER MCI,30
I131 DIAGNOSTIC CAPS PER MCI,25
I131 THERAPY CAP/MCI,25
I131 THERAPY SOL PER MCI,30
IA-2 AUTOANTIBODIES,87.58
ICE MASSAGE EA 15 MIN,175
ICE MASSAGE EA 15 MIN,175
ICE MASSAGE EA 15 MIN MOD 59,175
IFE SERUM (2OF4) IGA,36.28
IFE SERUM (3OF4) IGM,36.28
IFE SERUM (4OF4) ELECTROPHORESIS,85.83
IFE SERUM 1OF4,36.28
IGE ALTERNARIA ALTERNATA,18.52
IGE ASPERGILLUS FUMIGATUS,18.52
IGE CAT DANDER,18.52
IGE CLADOSPORIUM HERBARUM,18.52
IGE D FARINAE,18.52
IGE D PTERONYSSINUS,18.52
IGE PEANUT,18.52
IGE PEANUT COMPONENT PROFILE,18.52
IGE PENICILLIUM CHRYSOGEN,18.52
IGE TIMOTHY GRASS,18.52
IGF-BP3,52.55
IGG SUBCLASS 4,17
IGG SUBCLASSES (1OF5),36.28
IGG SUBGLASSES 2 OF 5 IGG1,17
IGG SUBGLASSES 3 OF 5 IGG2,17
IGG SUBGLASSES 4 OF 5 IGG3,17
IGG SUBGLASSES 5 OF 5 IGG4,17
IMAGED THIN PREP PAP SCREEN,57.6
IMIPRAMINE SERUM,200
IMMUNIZATION ADMIN  1 VAC,80
IMMUNIZATION ADMIN ADD'L,80
IMMUNOASSAY NONANTIBODY 3OF3,37.53
IMMUNOASSAY QUANT NOS NONAB 2OF3,48.04
IMMUNOFLOR,100.09
IMMUNOFLUOR ANTB 1ST STAIN,314
IMMUNOFLUOR ANTB ADDL STAIN,157
IMMUNOGLOBINS EA (2OF3)IGA,36.28
IMMUNOGLOBINS EA (3OF3)IGM,36.28
IMMUNOGLOBULIN A,36.28
IMMUNOGLOBULIN ASSAY NAIT 3OF3,25.68
IMMUNOGLOBULIN E,63.56
IMMUNOGLOBULIN G,36.28
IMMUNOGLOBULIN M,36.28
IMMUNOHIST/SPEC EA MULTIPLEX ANTI,480
IMMUNOHISTOCHEMISTRY 1ST,299
IMMUNOHISTOCHEMISTRY ADDITIONAL,92.83
IMPORT FEE,100
IN111 DTPA UP TO 25 MCI,1010
IN111 LABELED WBC/DOSE,5272
IN-111 OCTREOTIDE/DOSE,5150
IN111 PROSTASCINT UP TO 10 MCI,9135
INCISION/REM FB SUBQ CPLX,2830
INCISION/REMOV FB SUBQ SIMPLE,1544
INCUBATION SERUM W DRUG EA,137.84
INDIRECT EA AB TITER,202.37
INDIRECT PLATELET ANTIBODY,28.78
INDOLE TEST  OTHER SOURCE,33.53
INDUCED SPUTUM,230
INFECTIOUS MONO SCRN,20.27
INFERTILITY-MALE  Y CHROM DNA,130
INFLUENZA A AG IF,38.03
INFLUENZA A AG IF,38.03
INFLUENZA A/B AG 1 OF 2,18.91
INFLUENZA A/B AG 2 OF 2,18.91
INFLUENZA A/B VIRUS ABS  G/M,23.29
INFLUENZA B AG IF,38.03
INFLUENZA B AG IF,38.03
INFUSION CATH LEVEL 1,270
INFUSION CATH LEVEL 2,370
INFUSION CATH LEVEL 3,470
INFUSION CATH LEVEL 4,570
INFUSION CATH LEVEL 5,670
INFUSION CATH LEVEL 6,770
INFUSION CATH LEVEL 7,870
INFUSION CATH LEVEL 8,970
INHIBIN A,20.27
INHIBIN B,52.55
INHIBIT/SERUM EA ARC,100
INHIBITION ASSAY RFLX,57.05
INJ 1+ TRIGGER 1 OR 2 MUSCLE,806
INJ ANES AGENT FEMORAL NERVE SING,737
INJ ANES OTHER PERIPH NERVE/BRNCH,662
INJ ELBOW ARTHROGRAPHY LT,397
INJ ELBOW ARTHROGRAPHY RT,397
INJ EPIDURAL BLOOD PATCH,716
INJ FOR KIDNEY XRAY EXIST ACCESS,643
INJ GADOTERATE MEGLUMI 0.1 ML,12
INJ GALACTOGRAM,643
INJ HIP ARTHROGRAPHY W/O ANES LT,397
INJ HIP ARTHROGRAPHY W/O ANES RT,397
INJ HYSTEROSONOGRAPHY,645
INJ KNEE ARTHROGRAPHY LT,397
INJ KNEE ARTHROGRAPHY RT,397
INJ LAP BAND OFFICE/OP VISIT EST,286
INJ PLANTAR DIGITAL NERVE,690
INJ PROC EVAL PREV PERIT-VEN SHNT,690
INJ PROC RADIOACTIV SENTINEL NODE,397
INJ RADIOPHAR NON-IMAGING,741
INJ SHOULDER ARTHROGRAPHY LT,397
INJ SHOULDER ARTHROGRAPHY RT,397
INJ SINOGRAM,645
INJ TENDON ORIGIN/INSERTION,690
INJ TENDON SHEATH OR LIGAMENT,690
INJ WRIST ARTHROGRAPHY LT,397
INJ WRIST ARTHROGRAPHY RT,397
INJ. FOR RETROGRADE,737
INJ. HYSTEROSALPINGOGRAPH,645
INJECT SPINE LUMBAR/SACRAL,2022
INJECTION FOR CYSTOGRAPHY,645
INSERT BLADDER CATHETER,568
INSERTION OF CATH FOR CYSTOGRAM,737
INSULIN ANTIBODY,45.79
INSULIN LIKE GROWTH FACTR,64.56
INSULIN TOTAL,43.54
INTACT PTH,160.89
INTR LONG GI TUBE PLACEMT,763
INTRALUMINAL STRICTURE DI,2317
INTRAOPERATIVE CONSULT,85.08
INTRAOPERATIVE PTH,160.89
INTRAVENOUS PYELOGRAM,1618
INTRINSIC FACTOR AUTO AB,57.05
INTRODUCER/SHEATH LEVEL 1,300
INTRODUCER/SHEATH LEVEL 2,400
INTRODUCER/SHEATH LEVEL 3,500
INTUBATION E-TUBE EMERGENCY,720
IODINE  SERUM OR PLASMA,62.56
IODINE RANDOM URINE,62.56
IONTOPHERISIS  EA 15 MIN,219
IONTOPHERISIS EA 15 MIN,219
IONTOPHORESIS EA 15 MIN,219
IONTOPHORESIS EA 15 MIN,219
IR BASE 30 MIN ANESTHESIA,45
IR BASE 30 MIN KYPHO W/ANES,8000
IR BASE 30 MIN SPEC EQ W ANES,6500
IR BASE 30 MIN W ANES,650
IR BASE 30 MIN WO ANES,650
IR BASE 30MIN SPEC EQ ANESTHESIA,45
IR BASE 30MIN SPEC EQ WO ANES,6500
IR EA ADDL 15 MIN ANESTHESIA,20
IR EA ADDL 15 MIN W ANES,285
IR EA ADDL 15MIN SPEC EQ ANESTHES,20
IR EA ADDL 15MIN SPEC EQ W ANES,2000
IR EA ADDL 15MIN SPEC EQ WO ANES,2000
IR EA ADDL 15MIN WO ANES,285
IRON  ONLY,25.27
IRON BIND (2OF2) IBC,34.03
IRON BIND-1OF2,25.27
IRRADATION  EA UNIT,81
ISLET CELL AB SCRN W/RFLX TO TITR,87.58
ISLET CELL ANTIBODY TITER,87.58
IV INF ADDL SEQUENTIAL,722
IV INF HYDRATION EA ADD,521
IV INFUSE HYDRATE EA ADDL HR,126
IV INFUSION 1ST HR,521
IV INFUSION 1ST HR >16MIN-60MIN,722
IV INFUSION EA ADD HR,521
IV INFUSION EA ADD HR UP,109
IV INFUSION HYDRATION TX 31-60MIN,521
IV INFUSION HYDRATION TX 31-60MIN,350
IV INFUSION THER 1ST HR,521
IV INFUSION THER EA ADD,109
IV PUSH INITIAL,252
IV PUSH INITIAL DRUG,215
IV PUSH INITIAL DRUG,252
IV PUSH SAME DRUG EA ADDL,261.22
IV PUSH SAME DRUG EA ADDL,261.22
IV PUSH SEQ NEW DRUG,286
IV PUSH SEQ NEW DRUG,215
IV PUSH SEQ NEW DRUG,252
IV PUSH SEQ SAME DRUG,286
IV SEQUENTIAL NEW DRUG >16 MINS,722
JAK2 EXON 12 MUTATION ANALYSIS,103.6
JAK2 GENE,103.6
JAK2 MUTATION ANALYSIS QUAL,103.6
JAK2EXONS12&13MUTATIONS QUAL LEUM,463
JEJUNAL FEEDING TUBES,310
JO 1 ANTIBODY,65.56
JOBST,227
KAPPA LIGHT CHAINS URINE 1OF2,23.26
K-B STAIN,30.03
KIT GENE TARGETED SEQ ANALYSIS,395
KNEE 3 VIEW LEFT,774
