FIM DESCRIPTION,AMH PRICE
LIVER/SPLEEN SCAN W/FLOW,2779
LIVER-KIDNEY MICROSOME IG,57.05
LO SS HEAD/HND/FT/DIG 1ST 100CM2,3345
LO SS HEAD/HND/FT/DIG 1ST 25CM2,3345
LO SS HEAD/HND/FT/DIG EAADD 25CM2,3345
LO SS HEAD/HND/FT/DIG EAADD100CM2,3345
LO SS TRUNK/ARM/LEG 1ST 100CM2,3345
LO SS TRUNK/ARM/LEG 1ST 25CM2,3345
LO SS TRUNK/ARM/LEG EA ADD 100CM2,3345
LO SS TRUNK/ARM/LEG EA ADDL 25SCM,3345
LOCM 100-199 MG PER ML,1.13
LOCM 200-299 MG PER ML,0.58
LOCM 200-299 MG PER ML,0.58
LOCM 300-399 MG PER ML,0.58
LOCM 300-399 MG PER ML,0.58
LOCM 300-399 MG PER ML,1.13
LOCM 300-399 MG/ML PER ML,0.58
LOCM 300-399 PER ML,0.58
LOCM 300-399 PER ML,0.58
LONG ARM CAST,215
LONG ARM SPLINT,105
LONG LEG CAST BRACE,215
LONG LEG LIGHT CAST,215
LONG LEG WALKING CAST,215
LONG TERM EEG MONITORING <12 HRS,2065
LONG TERM HEMODIALYSIS CATH,293
LONG TERM HEMODIALYSIS CATH LVL 1,550
LOOP RECORDER INSERTION,15110
LOW EXT INFANT 2 VIEW LT,330
LOW EXT INFANT 2 VIEW RT,330
LOWER RESP CULT (1OF2),33.53
LR PLT DIVIDE,618
LR RBC DIVIDE,617
LS RATIO,83.82
LUMBAR PUNCTURE DIAGNOSTIC,725
LUMBAR SP 1 VIEW ETC/OR,213
LUMBAR SPINE AP & LAT 2 OR 3 VW,213
LUMBO SAC SPINE BEND 2 OR 3 VW,355
LUMBO SAC SPINE BEND MIN 6 VW,355
LUMBOSACRAL SPINE MIN 4V,355
LUNG PERF&VENT DIFFERENTL,4156
LUNG VENT & PERF IMAGING,4156
LUNG VENTILATION IMAGING,1741
LUNG VOLUMES GAS DILUTION PFT,385
LUTENIZING HORMONE,73.82
LUTETIUM LU 177  PER MCI,1068.75
LVL 1 TECH E&M EST W PROC,272
LVL 1 TECHNICAL E&M 10 MIN,100
LVL 1 TECHNICAL E&M 10 MIN W/PROC,100
LVL 2 TECH E&M EST W PROC,327
LVL 2 TECH E&M NEW W PROC,327
LVL 2 TECHNICAL E&M 15 MIN,100
LVL 2 TECHNICAL E&M 15 MIN W/PROC,100
LVL 3 TECH E&M EST W PROC,327
LVL 3 TECH E&M EST W PROC,100
LVL 3 TECH E&M NEW W PROC,418
LVL 3 TECHNICAL E&M 30 MIN,100
LVL 3 TECHNICAL E&M 30 MIN W/PROC,100
LVL 4 TECH E&M EST W PROC,418
LVL 4 TECH E&M EST W PROC,115
LVL 4 TECH E&M NEW W PROC,532
LVL 4 TECHNICAL E&M 45 MIN,100
LVL 4 TECHNICAL E&M 45 MIN W/PROC,100
LVL 5 TECH E&M EST W PROC,1788
LVL 5 TECH E&M EST W PROC,145
LVL 5 TECH E&M NEW W PROC,1788
LVL 5 TECHNICAL E&M 60+ MIN W/PRO,120
LYME AB 2 OF 2 IGM BLOT,26.63
LYME DISEASE DNA SYNOV FLUID/CSF,102.31
LYME IGG & IGM AB (1OF2),26.63
LYME TEST,60.55
LYMPHOSCINIGRAM,2141
LYSOZYME  SERUM,51.8
MAA PER STUDY UP TO 10 MCI,62
MAC OR GN BROTH ENRICHMENT,26.02
MAG3 TC99M MERTIATIDE UP TO 15MCI,871
MAGNESIUM,26.27
MAGNESIUM RBC,26.27
MAGNESIUM URINE,26.27
MAMMO GUIDE NEEDLE LOC ADD,2500
MAMMO GUIDE NEEDLE LOC LT,2500
MAMMO GUIDE NEEDLE LOC RT,2500
MAMMOTOME PROBE,660
MAN MUS TEST BODY W HANDS,185
MAN MUS TEST BODY W HANDS,185
MAN MUS TEST BODY W HANDS MOD 59,185
MAN MUS TEST BODY W HANDS MOD 59,185
MAN MUS TEST BODY W HANDS MOD 59,185
MAN MUS TEST BODY WO HANDS,185
MAN MUS TEST BODY WO HANDS,185
MAN MUS TEST BODY WO HANDS,185
MAN MUS TEST BODY WO HANDS MOD 59,185
MAN MUS TEST BODY WO HANDS MOD 59,185
MAN MUS TEST BODY WO HANDS MOD59,185
MAN MUS TEST EXT,185
MAN MUS TEST EXT,185
MAN MUS TEST EXT,185
MAN MUS TEST EXT MOD 59,185
MAN MUS TEST EXT MOD 59,185
MAN MUS TEST HANDS,185
MAN MUS TEST HANDS,185
MAN MUS TEST HANDS MOD 59,185
MAN MUS TEST HANDS MOD 59,185
MAN MUSC TEST BODY W HANDS,185
MAN MUSC TEST HANDS MOD 59,185
MAN MUSC TX EXT/TRU MOD 59,185
MAN MUSCLE TEST BODY ONLY,185
MAN MUSCLE TEST BODY ONLY,185
MAN MUSCLE TEST BODY ONLY,185
MAN MUSCLE TEST BODY/HAND,185
MAN MUSCLE TEST BODY/HAND,185
MAN MUSCLE TEST BODY/HAND,185
MAN MUSCLE TEST EXT/TRUNK,185
MAN MUSCLE TEST EXT/TRUNK,185
MAN MUSCLE TEST EXT/TRUNK,185
MAN MUSCLE TEST HANDS ONLY,185
MAN MUSCLE TST HANDS ONLY,185
MAN MUSCLE TST HANDS ONLY,185
MAN TX EA 15 MIN,185
MAN TX EA 15 MIN,185
MAN TX EA 15 MIN,185
MAN TX EA 15 MIN MOD 59,185
MAN TX EA 15 MIN MOD 59,185
MAN TX EA 15 MIN MOD 59,185
MANDIBLE MIN 4 VIEWS,919
MANUAL MUSCLE TEST BODY,185
MANUAL MUSCLE TEST BODY W HANDS,185
MANUAL MUSCLE TEST EXTREM,185
MANUAL MUSCLE TEST HANDS,185
MANUAL MUSCLE TEST HANDS/1,185
MANUAL THER EACH 15 MINS,185
MANUAL THER EACH 15 MINS,185
MANUAL THER EACH 15 MINS,185
MANUAL THER EACH 15 MINS MOD 59,185
MANUAL THER EACH 15 MINS MOD 59,185
MANUAL THER EACH 15 MINS MOD 59,185
MANUAL THER EACH 15 MINS MOD59,185
MANUAL THER EACH 15 MINS/3,185
MANUAL THERAPY EA 15 MIN,185
MANUAL THERAPY EA 15 MIN,185
MANUAL THERAPY EA 15 MIN,185
MANUAL THERAPY EA 15 MIN,185
MANUAL THERAPY EA 15 MIN,185
MANUAL THERAPY EA 15 MIN MOD 59,185
MANUAL THERAPY EA 15 MIN MOD 59,185
MANUAL THERAPY EA 15 MIN MOD 59,185
MASSAGE 1 HOUR,65
MASSAGE 1/2 HOUR,35
MASSAGE EA 15 MIN,175
MASSAGE EA 15 MIN,175
MASSAGE EA 15 MIN,175
MASSAGE EA 15 MIN,175
MASSAGE EA 15 MIN MOD 59,175
MASSAGE EA 15 MIN MOD 59,175
MASSAGE EACH 15 MINS,175
MASSAGE EACH 15 MINS,175
MASSAGE EACH 15 MINS,175
MASSAGE EACH 15 MINS MOD 59,175
MASSAGE EACH 15 MINS MOD 59,175
MASSAGE EACH 15 MINS MOD 59,175
MASSAGE EACH 15 MINS MOD 59,175
MASSAGE EACH 15 MINS/1,175
MAX VOLUNTARY VENTILATION,270
MDI DEMO/EVAL W/TX,225
MDI SUBSEQUENT,47
MDP TC99M MEDRONATE UP TO 30 MCI,135
MEASLES-MUMPS-RUBELLA VACCINE,252
MECH REMOVAL INTRALUMINAL,824
MECH REMOVAL PERICATH OB,824
MECONIUM DRUG SCREEN,200
MED AERO TX < 60 MIN,111
MED AERO TX EVAL/DEMO < 60 MIN,140
MEDICAL ABORTION,575
MEMORY CURRENT STATUS,0.01
MEMORY CURRENT STATUS,0.01
MEMORY D/C STATUS,0.01
MEMORY D/C STATUS,0.01
MEMORY GOAL STATUS,0.01
MEMORY GOAL STATUS,0.01
MENINGOCOCCAL GROUP B (BEXSERO),603
MENINGOCOCCAL VACCINE QUADRIVAL,120
MERCURY QUANTITATIVE,63.06
MERCURY QUANTITATIVE,63.06
METANEPHRINES FRAC QN 24-HR,65.31
METHANOL STAT,62.56
METHOTREXATE,48.79
METHYLMALONIC ACID,64.31
MEXILETINE (MEXITIL)  SERUM,48.79
MGMT GENE METHYLATION ANAL,376
MI 2 AUTOANTIBODIES,65.56
MIDDLE CEREBRAL ARTERY DOPPLER,292
MIFEPRISTONE ORAL 200 MG,90
MIND BODY INTEGRATION GRP,180
MISC ZERO CHARGE TEST,0
MISCELLANEOUS (0-10),63
MISCELLANEOUS (101-200),523
MISCELLANEOUS (11-20),87
MISCELLANEOUS (201-300),767
MISCELLANEOUS (21-30),111
MISCELLANEOUS (301-400),1009
MISCELLANEOUS (31-40),135
MISCELLANEOUS (401-500),1252
MISCELLANEOUS (41-50),161
MISCELLANEOUS (501-600),1495
MISCELLANEOUS (51-60),184
MISCELLANEOUS (601-700),1738
MISCELLANEOUS (61-70),208
MISCELLANEOUS (701-800),1980
MISCELLANEOUS (71-80),233
MISCELLANEOUS (801-900),2223
MISCELLANEOUS (81-90),257
MISCELLANEOUS (901-1000),2467
MISCELLANEOUS (91-100),282
MISOPROSTOL ORAL 200 MCG,90
MISSED ABORTION  MVA,1407
MITOCHONDRIA M2 AB (IGG),48.04
MIXING STUDY PT EA,14.01
MIXING STUDY PTT EA,21.02
MMPI  PSYCH/PHYS PER HR,232
MMPI TECH PER HR,914
MNT GRP COUNSEL EACH 30MN,100
MNT INITIAL EACH 15 MIN,57
MNT REASS/SUBS INTRV GRP,100
MNT REASS/SUBS INTRV INDI,50
MNT REASSESSMENT EA 15 MINS,53
MOBILE POWER UNIT,36000
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOD SED OTH PHYS<5YRS INIT 15MIN,228
MOD SED OTH PHYS>/5YRS INIT 15MIN,228
MOD SED OTHER PHYS EA ADD 15MIN,228
MOD SED SAME PHYS >/5YRS INIT 15,228
MOD SED SAME PHYS 5YRS>/INIT 15,228
MOD SED SAME PHYS 5YRS>/INIT 15,228
MOD SED SAME PHYS EA ADD 15MIN,228
MOD SED SAME PHYS EA ADD 15MIN,228
MOD SED SAME PHYS<5YRS INIT 15MIN,228
MOD SEDAT PHYS/QHP EA 15 MIN,228
MOD SEDAT SAME PHYS 5YRS/>INIT 15,228
MOD SEDAT SAME PHYS 5YRS/>INIT 15,228
MOD SEDAT SAME PHYS EA 15 MIN,228
MOD SEDAT SAME PHYS EA ADD 15 MIN,228
MODULE DISPLAY,10080
MODULE POWER,28080
MODULE SYSTEM CONTROLLER BATTERY,398
MOL HI RES ABC,163
MOL HI RES ABC MULTI,367
MOL HI RES DRDQ MULTI,408
MOLD OTHER ID,38.28
MOLD S/H/N ID,38.28
MOLECULAR RBC TYPING - ARC,130
MONITORING OF HIGH RISK DELIVERY,533
MOTOR SPEECH CURRENT STATUS,0.01
MOTOR SPEECH CURRENT STATUS,0.01
MOTOR SPEECH D/C STATUS,0.01
MOTOR SPEECH D/C STATUS,0.01
MOTOR SPEECH GOAL STATUS,0.01
MOTOR SPEECH GOAL STATUS,0.01
MPL W515&MPL S505 MUTATION ANALY,375
MPO WBC ANTIBODY IDENTIFICATION,28.78
MPU  HOSP OBSV SERV P/HR,144
MR CARD MORP FUNC W&W/O,2364
MR CARD MORPH FUNC WO CON,1546
MRA ABDOMEN W/CONTRAST,2859
MRA ABDOMEN W/O CONTRAST,2859
MRA ABDOMEN W/O THEN W/CO,2859
MRA CHEST W/CONTRAST,2859
MRA CHEST W/O CONTRAST,2859
MRA CHEST W/O THEN W/CONT,2859
MRA HEAD W/CONTRAST,3890
MRA HEAD W/O CONTRAST,3890
MRA HEAD W/O THEN W/CONTR,3890
MRA LOW EXT W/O & W/CTR L,2859
MRA LOW EXT W/O & W/CTR R,2859
MRA LOW EXT W/O CONT LT,2859
MRA LOW EXT W/O CONT RT,2859
MRA LOWER EXT W/CONTR LT,2859
MRA LOWER EXT W/CONTR RT,2859
MRA NECK W CONTRAST,3890
MRA NECK W/CONTRAST,3890
MRA NECK W/O CONTRAST/1,3890
MRA NECK W/O THEN W/CONTR,3890
MRA PELVIS W/O & W/CONTR,3890
MRA PELVIS W/O CONTRAST,3890
MRA PELVIS WITH CONTRAST,3890
MRA UPPER EXT LEFT W,2055
MRA UPPER EXT LEFT WO,3321
MRA UPPER EXT LEFT WOW,2510
MRA UPPER EXT RIGHT W,2055
MRA UPPER EXT RIGHT WO,3321
MRA UPPER EXT RIGHT WOW,2510
MRI ABD W/CONTRAST,3890
MRI ABD W/O THEN W/CONTR,3890
MRI ABDOMEN W/O CONTRAST,3890
MRI BONE MARROW,2770
MRI BRAIN W/O CONTRAST,2620
MRI BRAIN WITH AND W/O CO,4225
MRI BRAIN WITH CONTRAST,3384
MRI BREAST BILAT WOW,3890
MRI BREAST BILATERAL W/ CONTRAST,3890
MRI BREAST UNI LT WITH,3890
MRI BREAST UNI LT WOW,3890
MRI BREAST UNI RT WITH,3890
MRI BREAST UNI RT WOW,3890
MRI CERVICAL WITH AND W/O/1,4225
MRI CERVICAL WITH CONTRAS/1,3384
MRI CERVICAL WITHOUT CONT/1,2770
MRI CHEST W/CONTRAST,3890
MRI CHEST W/O CONTRAST,3890
MRI CHEST W/O THEN W/CONT,3890
MRI GAD PER 1ML/2,9
MRI GUID VAC BREAST BX ADD,4200
MRI GUID VAC BREAST BX LT,4200
MRI GUID VAC BREAST BX RT,4200
MRI GUIDE NDL PLCMT S&I,3890
MRI LO EXT JNT LT WO CONT,3890
MRI LO EXT JNT LT WOW CONT,3890
MRI LO EXT JNT RT WOW CONT,3890
MRI LO EXT JOINT W/CONT L,3890
MRI LO EXT JOINT W/CONT R,3890
MRI LO EXT W & W/O CONT L,3890
MRI LO EXT W/CONTR LT,3890
MRI LO EXT W/CONTR RT,3890
MRI LO EXT W/O CONTR LT,3890
MRI LO EXT W/O CONTR RT,3890
MRI LOW EXT JNT RT WO CONT,3890
MRI LOW EXT W & W/O CON R,3890
MRI LUMBAR WITH AND W/O C/1,4225
MRI LUMBAR WITH CONTRAST,3384
MRI LUMBAR WITHOUT CONTRAST,2770
MRI ORBIT FACE NECK W/CON,3890
MRI ORBIT FACE NECK W/O W,3890
MRI ORBIT/FACE/NECK W/O C,3890
MRI PELVIS W/CONTRAST,3890
MRI PELVIS W/O CONTRAST,3890
MRI PELVIS W/O THEN W/CON,3890
MRI PROSTATE WOW,3890
MRI THORACIC WITH AND W/O/1,4225
MRI THORACIC WITH CONTRAS,3384
MRI THORACIC WITHOUT CONT/1,2770
MRI TMJ BILAT,3890
MRI TMJ UNI LT,3321
MRI TMJ UNI RT,3321
MRI UP EXT JNT LT WO CONT,3890
MRI UP EXT JNT LT WOW CONT,3890
MRI UP EXT JNT RT WO CONT,3890
MRI UP EXT JNT RT WOW CONT,3890
MRI UP EXT JOINT W/CONT L,3890
MRI UP EXT JOINT W/CONT R,3890
MRI UP EXT RT WOW CONT,3890
MRI UP EXT W & W/O CONT L,3890
MRI UP EXT W/CONTR LT,3890
MRI UP EXT W/CONTRAST RT,3890
MRI UP EXT W/O CONTR LT,3890
MRI UP EXT W/O CONTRAST R,3890
MRSA SCREEN,22.27
MSLT,6122
MSLT,6122
MTHFR GENE,116.15
MULTIFET PREG RED (MPR),1545
MULTIMETRIC ANALYSIS,89.58
MUMPS ANTIBODIES  IGM,57.05
MUSCLE BIOPSY-LEVEL-IV,150.13
MUSK ANTIBODY TEST,48.79
MUSK ANTIBODY TEST,37.53
MWT,6122
MYCOPHENOLIC ACID AND METABO,36.4
MYCOPLASMA HOMINIS CULT,59.3
MYCOPLASMA PNEUM AB 2 OF 2 IGM,22.75
MYCOPLASMA PNEUM AB(1OF2),22.75
MYELIN ASSOC GLYCOPROT IGG ANTBDY,44.04
MYELIN ASSOC GLYCOPRTN IGM ANTBDY,48.04
MYELIN ASSOCIATED GLYCOPROTEIN,48.04
MYELOGRAM CERVICAL WITH INJ,3034
MYELOGRAM COMPLETE 2+REGION W INJ,3034
MYELOGRAM LUMBOSACRAL WITH INJ,3034
MYELOGRAM THORACIC WITH INJ,3034
MYELOPEROXIDASE ANTIBODY,28.78
MYO PERF PLANAR-SING,3636
MYO PERF PLANAR-SING/1,3636
MYOCAR PERFUSION SPECT MOD 52,1155
MYOCAR PERFUSION SPECT MOD 52,1155
MYOCARD INFARC WITH 1ST P,3127
MYOCARD PERF  PLANAR MULTI,3636
MYOCARD PERF  PLANAR MULTI/1,3636
MYOCARD PERF  PLANAR MULTI/2,3636
MYOCARD PERF  PLANAR SGL,3636
MYOCARD PERF SPECT MLT,3636
MYOCARD PERF SPECT MLT/1,3636
MYOCARD PERF SPECT MLT/2,3636
MYOCARD PERF SPECT MOD52 LIMITED,1155
MYOCARD PERF SPECT SGL,3636
MYOCARD PERF SPECT SGL/1,3636
MYOCARD PERF SPECT SGL/2,3636
MYOCARDIAL INFARC SCAN,1574
MYOCARDIAL INFARCT - SPEC,4294
MYOGLOBIN SERUM,50.29
MYOGLOBIN U,50.29
MYOMECTOMY - HYSTEROSCOPIC,4117
MYOMECTOMY - LAPAROSCOPIC,3345
MYOMECTOMY- ABDOMINAL,4888
MYOMECTOMY- VAGINAL,4888
N METHLYHISTAMINE  URINE 1OF2,62.56
N.GONORRHOEAE DNA AMP PROB,121.36
NAIT TESTING 1 OF 3,28.78
NASAL BONES MIN 3 VIEWS,713
NASAL ENDOSCOPY(DIAGNOSTIC SCOPE),3246
NASH FIBROSURE 1OF10,57.3
NASOPHARYNGEAL CULTURE,33.53
NASOPHARYNGOSCOPY,200
NATURAL KILLER CELLS  TOTAL COUNT,69.39
NAVICULAR 2 VIEWS LEFT,201
NAVICULAR 2 VIEWS RIGHT,201
NAVX PATCH,2375
NECK SOFT TISSUE,587
NEG PRES WOUND TX <=50SQ CM,217
NEG PRES WOUND TX >50SQ CM,306
NEISSERIA MENINGITIS IGG,63
NEONATAL RECTAL SCREEN,33.53
NEONATE CHEST/ABD COMB 1VW,293
NEOX 1K P/SQ CM 2X1 PIECE,889
NEOX 1K P/SQ CM 2X2 PIECE,894
NEOX 1K P/SQ CM 3X2 PIECE,896
NEOX 1K P/SQ CM 3X3 PIECE,698
NERVE BIOPSY-LEVEL IV,150.13
NERVE TEASING,88.98
NEURO COIL RELEASER,956
NEURO COILS,2345
NEURO COILS/1,3108
NEURO COILS/2,3975
NEURO COILS/3,4438
NEURO COILS/4,5383
NEURO COILS/5,5916
NEURO COILS/6,6466
NEURO COILS/7,7031
NEURO PARTICLES/GLUE,250
NEURO PARTICLES/GLUE,6238
NEURO PARTICLES/GLUE/1,650
NEURO PARTICLES/GLUE/2,12010
NEURO PARTICLES/GLUE/3,3245
NEURO PARTICLES/GLUE/4,5250
NEURO SUCTION SUPPLIES,2565
NEUROLITE TC99M BICASATE TO 25MCI,1770
NEURONAL NUCLEAR AB TITER  SERUM,28.78
NEUTRALIZATION TEST VIRAL,59.8
NEW PATIENT VISIT,250
NEW PT LEVEL 2 WO PROC,263
NEW PT LEVEL 3 W PROC,352
NEW PT LEVEL 3 WO PROC,352
NEW PT LEVEL 4 W PROC,437
NEW PT LEVEL 4 WO PROC,437
NEW PT LEVEL 5 W PROC,570
NEW PT LEVEL 5 WO PROC,570
NEWBORN ABO 1OF2,83.81
NEWBORN CARE LEV I IN PEDS,2425
NEWBORN CARE LEV II IN PEDS,3715
NEWBORN CARE LEVEL I,2425
NEWBORN CARE LEVEL II,3715
NEWBORN RH 2OF2,83.81
NEXPLANON,700
NFCT GEXYP DNA/RNA HIV 1 OTHR REG,1044
NICOTINE AND COTININE SERUM/PLASM,200
NICOTINE AND METABOLITE  UR QUANT,200
NITRAZINE,9.26
NITRIC OXIDE P/HR,590
NITROUS OXIDE,64
NM TETROFOSMIN TC99M PER DOSE,695.98
NMDA RECEPTOR AUTOANTIBODY,44.04
NMO IGG AUTOANITBODY,48.04
NON-CARDIAC VASCULAR FLOW STUDY,1968
NON-CORING NEEDLE,234
NON-INDWELLING URINARY CATHETER,106
NONSELECT THOR AORTA (ARCH),14474
NON-STRESS TEST,352
NON-STRESS TEST,462
NON-STRESS TEST EA ADDITIONAL,352
NON-STRESS TEST EA ADDITIONAL,462
NONTEMP ABLATION CATHETER/1,7142
NONTEMP ABLATION CATHETER/2,9000
NONTEMP ABLATION CATHETER/3,21600
NONTEMP ABLATION CATHETER/4,5513
NONTEMP ABLATION CATHETER/5,3263
NONTEMP ABLATION CATHETER/6,4928
NOROVIRUS,121.36
NORTRIPTYLINE (AVENTYL)  SERUM,200
NORTRIPTYLINE (AVENTYL)  SERUM,200
NPWT DISPOSABLE <= 50 SQ CM,1048
NPWT DISPOSABLE > 50 SQ CM,1048
NRAS,1337
N-TELOPEPTIDE 2 OF 2 CREAT,20.27
N-TELOPEPTIDE W/CREAT 1O2,37.53
NUCLEAR ANTIGEN ANTIBODY,65.56
NUCLEAR ANTIGEN ANTIBODY,65.56
NUCLEAR ANTIGEN ANTIBODY  EACH,65.56
NUSWAB VAGINITIS (VG),121.36
NUTRITIONAL COUNSELING  PER VISIT,15
O & P GIARDIA AG 2 OF 2,38.03
O&P SCREEN CRYPTOSPORIDIUM 1OF2,38.03
O2 FIRST DAY,123
OASIS WOUND MTX PER SQ CM,54.7
OB PACU,1000
OBSERVATION PER HOUR,144
OCC THERAPY INITIAL EVAL LEV 1,396
OCC THERAPY INITIAL EVAL LEV 1,396
OCC THERAPY INITIAL EVAL LEV 2,396
OCC THERAPY INITIAL EVAL LEV 2,396
OCC THERAPY INITIAL EVAL LEV 3,396
OCC THERAPY INITIAL EVAL LEV 3,396
OCC THERAPY INITIAL EVAL LEVEL 1,396
OCC THERAPY INITIAL EVAL LEVEL 1,396
OCC THERAPY INITIAL EVAL LEVEL 2,396
OCC THERAPY INITIAL EVAL LEVEL 2,396
OCC THERAPY INITIAL EVAL LEVEL 3,396
OCC THERAPY INITIAL EVAL LEVEL 3,396
OCC THERAPY REEVALUATION,269
OCC THERAPY REEVALUATION,269
OCC THERAPY REEVALUATION,269
OCC THERAPY REEVALUATION,269
OCCL/EMBOL NON-CNS HD/NEC,4117
OCCLUSAL GUARD,340
OCCLUSION CATHETERS LEVEL 1,450
OCCLUSION CATHETERS LEVEL 3,1050
OCCULT BLOOD FECES 3 CARDS,6.26
OFFICE PREGNANCY TEST/1,20
OFFICE VISIT CONT CARE,0
OLIGOCLONAL BAND CSF,76.82
ONE MONTH MEMBERSHIP,40
ONLAY CAST HGH NOB MTL 3+,1010
ONLAY CAST HGH NOBLE MET2,720
ONLAY METALLIC THREE SURFACES,1010
ONLAY PORCEL/CERAM 3+SURF,1010
ONLAY PROCEL/CERAM 2 SURF,720
ONLAY-PORC/CERAMIC 4/MORE SURF,1010
OP UNSCHED/EMERG DIALYSIS ESRD,4535
OP UNSCHED/EMERG DIALYSIS NONESRD,2190
OPEN/PER CAROTID STENT W/ PROT,6180
OPEN/PER CAROTID STENT W/O PROT,2465
OPEN/PERC PLACE STENT 1ST/ARTERY,19559
OPEN/PERC PLACE STENT EA ADD/ARTY,19559
OR LEV I 0.5 HR,1696
OR LEV I 0.5 HR-HYBRID/ROBOTIC,1866
OR LEV I 1.0 HR,3171
OR LEV I 1.0 HR-HYBRID/ROBOTIC,3488
OR LEV I 1.5 HR,4646
OR LEV I 1.5 HR-HYBRID/ROBOTIC,5111
OR LEV I 10.0 HR,29721
OR LEV I 10.5 HR,31196
OR LEV I 11.0 HR,32671
OR LEV I 11.5 HR,34146
OR LEV I 12.0 HR,35621
OR LEV I 12.5 HR,37096
OR LEV I 13.0 HR,38571
OR LEV I 13.5 HR,40046
OR LEV I 14.0 HR,41521
OR LEV I 14.5 HR,42996
OR LEV I 15.0 HR,44471
OR LEV I 15.5 HR,45946
OR LEV I 16.0 HR,47421
OR LEV I 16.5 HR,48896
OR LEV I 17.0 HR,50371
OR LEV I 17.5 HR,51846
OR LEV I 18.0 HR,53321
OR LEV I 18.5 HR,54796
OR LEV I 19.0 HR,56271
OR LEV I 19.5 HR,57746
OR LEV I 2.0 HR,6121
OR LEV I 2.0 HR-HYBRID/ROBOTIC,6733
OR LEV I 2.5 HR,7596
OR LEV I 2.5 HR-HYBRID/ROBOTIC,8356
OR LEV I 20.0 HR,59221
OR LEV I 3.0 HR,9071
OR LEV I 3.0 HR-HYBRID/ROBOTIC,9978
OR LEV I 3.5 HR,10546
OR LEV I 3.5 HR-HYBRID/ROBOTIC,11601
OR LEV I 4.0 HR,12021
OR LEV I 4.0 HR-HYBRID/ROBOTIC,13223
OR LEV I 4.5 HR,13496
OR LEV I 4.5 HR-HYBRID/ROBOTIC,14845
OR LEV I 5.0 HR,14971
OR LEV I 5.0 HR-HYBRID/ROBOTIC,16467
OR LEV I 5.5 HR,16446
OR LEV I 5.5 HR-HYBRID/ROBOTIC,18089
OR LEV I 6.0 HR,17921
OR LEV I 6.0 HR-HYBRID/ROBOTIC,19711
OR LEV I 6.5 HR,19396
OR LEV I 6.5 HR-HYBRID/ROBOTIC,21333
OR LEV I 7.0 HR,20871
OR LEV I 7.0 HR-HYBRID/ROBOTIC,22955
OR LEV I 7.5 HR,22346
OR LEV I 7.5 HR-HYBRID/ROBOTIC,24577
OR LEV I 8.0 HR,23821
OR LEV I 8.5 HR,25296
OR LEV I 9.0 HR,26771
OR LEV I 9.5 HR,28246
OR LEV II 0.5 HR,1866
OR LEV II 0.5 HR-HYBRID/ROBOTIC,2052
OR LEV II 1.0 HR,3488
OR LEV II 1.0 HR-HYBRID/ROBOTIC,3837
OR LEV II 1.5 HR,5111
OR LEV II 1.5 HR-HYBRID/ROBOTIC,5622
OR LEV II 10.0 HR,32687
OR LEV II 10.5 HR,34309
OR LEV II 11.0 HR,35931
OR LEV II 11.5 HR,37553
OR LEV II 12.0 HR,39175
OR LEV II 12.5 HR,40797
OR LEV II 13.0 HR,42419
OR LEV II 13.5 HR,44041
OR LEV II 14.0 HR,45663
OR LEV II 14.5 HR,47285
OR LEV II 15.0 HR,48907
OR LEV II 15.5 HR,50529
OR LEV II 16.0 HR,52151
OR LEV II 16.5 HR,53773
OR LEV II 17.0 HR,55395
OR LEV II 17.5 HR,57017
OR LEV II 18.0 HR,58639
OR LEV II 18.5 HR,60261
OR LEV II 19.0 HR,61883
OR LEV II 19.5 HR,63505
OR LEV II 2.0 HR,6733
OR LEV II 2.0 HR-HYBRID/ROBOTIC,7407
OR LEV II 2.5 HR,8356
OR LEV II 2.5 HR-HYBRID/ROBOTIC,9191
OR LEV II 20.0 HR,65127
OR LEV II 3.0 HR,9978
OR LEV II 3.0 HR-HYBRID/ROBOTIC,10976
OR LEV II 3.5 HR,11601
OR LEV II 3.5 HR-HYBRID/ROBOTIC,12761
OR LEV II 4.0 HR,13223
OR LEV II 4.0 HR-HYBRID/ROBOTIC,14546
OR LEV II 4.5 HR,14845
